genus	n	present_n	absent_n	prevalence	eligible_locked_prevalence	odds_ratio	ci_lower	ci_upper	p_value	separation_diagnostic	bh_q_value	contamination_risk_category
Phenylobacterium	62	36	26	0.5806451612903226	True	1.7410543363460707	0.9929467772066506	3.052802296853211	0.052954047887039786	PASS	0.07564863983862827	LOW_CURRENT_CONCERN
Xanthomonas	62	46	16	0.7419354838709677	True	2.2951268766256803	1.0967362729581442	4.802984554893611	0.027448028476629523	PASS	0.05446032829965152	LOW_CURRENT_CONCERN
Azospira	62	52	10	0.8387096774193549	True	2.007872761612108	0.856903839988588	4.704790477864499	0.1085965877731059	PASS	0.13365733879766878	LOW_CURRENT_CONCERN
Deinococcus	62	21	41	0.3387096774193548	True	1.766276381481446	1.0184060049573018	3.0633482526548828	0.04287547449520712	PASS	0.06596226845416481	LOW_CURRENT_CONCERN
Hydrogenophaga	62	61	1	0.9838709677419355	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Porphyrobacter	62	60	2	0.967741935483871	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Aromatoleum	62	28	34	0.45161290322580644	True	2.4747599741542707	1.3582220224817676	4.509157433985179	0.0030740768377281263	PASS	0.010692441174706527	LOW_CURRENT_CONCERN
Microbacterium	62	31	31	0.5	True	2.195009911172432	1.2250168033100945	3.933063201358869	0.008240691038073804	PASS	0.021266299453093686	LOW_CURRENT_CONCERN
Mitsuaria	62	13	49	0.20967741935483872	True	2.123974920395937	1.118037172558977	4.034990582777742	0.021403828392420846	PASS	0.04506069135246494	LOW_CURRENT_CONCERN
Pandoraea	62	22	40	0.3548387096774194	True	5.52335878499751	2.4236809863740025	12.587255682296094	4.771402381051622e-05	PASS	0.0038171219048412975	LOW_CURRENT_CONCERN
Rhodococcus	62	25	37	0.4032258064516129	True	1.5729377431640326	0.9277836167696627	2.6667135516838982	0.09262708391629025	PASS	0.12350277855505366	LOW_CURRENT_CONCERN
Streptococcus	62	26	36	0.41935483870967744	True	2.7519201285122246	1.480060459341516	5.1167263782454	0.0013787818864664323	PASS	0.008233807362831384	LOW_CURRENT_CONCERN
Rhizorhabdus	62	60	2	0.967741935483871	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Citromicrobium	62	22	40	0.3548387096774194	True	1.8466877337797514	1.0630400433911067	3.2080217554306323	0.029483320652479418	PASS	0.05446032829965152	LOW_CURRENT_CONCERN
Massilia	62	50	12	0.8064516129032258	True	2.485976371090918	1.048009984498387	5.896965304753623	0.03879016662418144	PASS	0.0620642665986903	LOW_CURRENT_CONCERN
