genus	evidence_category	primary_q_value	reasons
Pseudomonas	METHOD_SENSITIVE	0.23275205188658835	primary_q=0.232752; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Methylobacterium	NO_SUPPORTED_ASSOCIATION	0.18939787780667866	primary_q=0.189398; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Elizabethkingia	CONTAMINATION_SENSITIVE	0.09798982959368525	primary_q=0.0979898; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=True
Tessaracoccus	METHOD_SENSITIVE	0.3469750561478388	primary_q=0.346975; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Agrobacterium	METHOD_SENSITIVE	0.12998225181044593	primary_q=0.129982; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Azospirillum	METHOD_SENSITIVE	0.7711251435174232	primary_q=0.771125; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Clostridium	NO_SUPPORTED_ASSOCIATION	0.3469750561478388	primary_q=0.346975; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Ensifer	ROBUST_ASSOCIATION	0.04016884356972097	primary_q=0.0401688; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Roseomonas	NO_SUPPORTED_ASSOCIATION	0.8645806217811028	primary_q=0.864581; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Croceicoccus	NO_SUPPORTED_ASSOCIATION	0.9329795717732935	primary_q=0.93298; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
