patient_id	major_cell_class	n_cells	marker_mean_acinar	marker_mean_b_cell	marker_mean_endocrine	marker_mean_endothelial	marker_mean_fibroblast_caf	marker_mean_malignant_or_ductal	marker_mean_mast	marker_mean_myeloid	marker_mean_nk_cell	marker_mean_t_cell
N9	fibroblast_caf	177	6.653954802259888	0.005649717514124294	9.347457627118644	0.7608286252354048	15.259887005649718	0.2962066182405166	0.0	0.04858757062146893	0.002824858757062147	0.03531073446327684
N9	myeloid	118	6.838983050847458	0.00423728813559322	11.828389830508474	0.3050847457627119	0.10875706214689264	0.3026634382566586	0.011299435028248588	6.916949152542374	0.023305084745762712	0.1292372881355932
N9	nonmalignant_epithelial	1469	118.88342409802587	0.004594962559564329	160.8509189925119	0.4896755162241888	0.11493079192194235	2.7238160070018473	0.014976174268209666	0.2400272294077604	0.010891763104152484	0.013955071477195371
T10	B_cell	124	0.04032258064516128	2.957661290322581	0.20766129032258063	0.19354838709677416	0.21505376344086022	0.37672811059907835	0.026881720430107527	0.2596774193548387	0.08669354838709677	0.048387096774193554
T10	T_cell	151	0.04470198675496689	0.26490066225165565	2.0827814569536423	0.19205298013245034	0.2726269315673289	0.369914853358562	2.041942604856512	0.433112582781457	2.0033112582781456	1.0827814569536423
T10	endothelial	127	0.09842519685039369	0.22244094488188978	0.4468503937007874	7.4461942257217855	0.4553805774278215	0.7165354330708661	0.05774278215223096	0.5826771653543308	0.24803149606299216	0.11614173228346458
T10	fibroblast_caf	270	0.07962962962962963	0.11851851851851851	0.28240740740740744	0.2728395061728395	5.565432098765432	0.4878306878306878	0.04814814814814814	0.4303703703703704	0.12592592592592594	0.12129629629629629
T10	malignant_epithelial	92	0.1983695652173913	0.23097826086956524	0.5733695652173912	0.6014492753623188	0.5833333333333334	7.295031055900622	0.03985507246376812	3.267391304347826	0.25271739130434784	0.125
T10	myeloid	51	0.10294117647058823	0.12254901960784315	0.2450980392156863	0.2549019607843137	0.3758169934640523	0.5378151260504201	0.032679738562091505	10.109803921568629	0.1519607843137255	0.20098039215686275
T10	nonmalignant_epithelial	13	27.73076923076923	0.17307692307692307	32.94230769230769	0.4102564102564103	1.5897435897435896	1.054945054945055	0.025641025641025644	0.7384615384615384	0.07692307692307693	0.17307692307692307
T11	B_cell	2	0.0	2.625	1.625	0.0	1.3333333333333333	0.35714285714285715	0.0	0.1	0.0	0.0
T11	T_cell	133	0.15977443609022557	0.6071428571428571	4.052631578947368	0.03007518796992481	1.7932330827067668	0.27282491944146076	8.421052631578947	0.26165413533834586	1.0958646616541352	1.5676691729323309
T11	endothelial	44	0.20454545454545453	0.10227272727272727	5.4772727272727275	10.181818181818182	3.4962121212121215	0.4025974025974026	0.14393939393939395	0.27272727272727276	0.03977272727272727	0.17045454545454544
