feature_name	feature_layer	composition_covariate	coefficient	p_value	q_value	is_composition_sensitive	independent_review_status	notes
ZNF740	partially replicated TF	myeloid_fraction	-0.330502539656615	0.561635065410755	0.65940044855836	FALSE	PASS	No significant composition effect for myeloid_fraction (q >= 0.10).
HALLMARK_PROTEIN_SECRETION	Hallmark	lymphoid_fraction	-0.0239766300122417	0.0397852020541406	0.0795704041082812	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
HALLMARK_SPERMATOGENESIS	Hallmark	lymphoid_fraction	-3.73610956464826e-05	0.998588891649686	0.998588891649686	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
CTCFL	externally replicated TF	lymphoid_fraction	-0.68621818339635	0.0931703529913677	0.223608847179283	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
IRF3	externally replicated TF	lymphoid_fraction	1.91139711667849	0.0010914240006468	0.0073988943724599	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
JUNB	externally replicated TF	lymphoid_fraction	-0.458241696153658	0.217721616408849	0.373237056700885	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
KLF13	externally replicated TF	lymphoid_fraction	-0.11658015667161	0.726657975157315	0.963726513798711	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
KLF9	externally replicated TF	lymphoid_fraction	-1.17956197923488	0.0012331490620766	0.0073988943724599	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
MNT	externally replicated TF	lymphoid_fraction	-0.0909383797423338	0.883415970982152	0.963726513798711	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
MXI1	externally replicated TF	lymphoid_fraction	0.528664729058102	0.0299975517540817	0.089992655262245	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
SNAI2	externally replicated TF	lymphoid_fraction	0.218207530434748	0.711063524842055	0.963726513798711	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
TFAP4	externally replicated TF	lymphoid_fraction	-0.755464331641557	0.0038278554668142	0.0153114218672569	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
TP63	externally replicated TF	lymphoid_fraction	0.132036770772919	0.814431422689207	0.963726513798711	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
ZBTB7A	externally replicated TF	lymphoid_fraction	0.743679836732088	0.216239897681257	0.373237056700885	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
ZNF24	externally replicated TF	lymphoid_fraction	0.00209490027793	0.996883343914545	0.996883343914545	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
BHLHE40	partially replicated TF	lymphoid_fraction	-0.364061536024866	0.640846139913789	0.757363619898114	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
E2F6	partially replicated TF	lymphoid_fraction	0.0846293813090708	0.822253735733406	0.822253735733406	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
ELF1	partially replicated TF	lymphoid_fraction	-0.0895810709212491	0.800266874675038	0.822253735733406	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
GRHL2	partially replicated TF	lymphoid_fraction	-1.03672238847222	0.0327460409904508	0.106424633218965	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
KLF1	partially replicated TF	lymphoid_fraction	0.516921993177726	0.4341740461214	0.627140288842022	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
MBD1	partially replicated TF	lymphoid_fraction	-0.647361759734025	0.0067918223562299	0.0294312302103296	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
MBD2	partially replicated TF	lymphoid_fraction	-0.587296234185169	0.0526518132177192	0.13689471436607	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
OTX2	partially replicated TF	lymphoid_fraction	-0.134009037130179	0.391586543830503	0.627140288842022	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
SIX5	partially replicated TF	lymphoid_fraction	-0.613847974094601	0.177938758587523	0.330457694519686	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
SNAPC4	partially replicated TF	lymphoid_fraction	0.751847621295917	0.0025932686566728	0.0205706858203629	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
ZBED1	partially replicated TF	lymphoid_fraction	1.03677511960564	0.0031647208954404	0.0205706858203629	TRUE	PASS	Significant composition effect for lymphoid_fraction (q < 0.10).
ZNF384	partially replicated TF	lymphoid_fraction	-0.362803536886774	0.0800922223417914	0.173533148407215	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
ZNF740	partially replicated TF	lymphoid_fraction	0.148007098243	0.589581762758376	0.757363619898114	FALSE	PASS	No significant composition effect for lymphoid_fraction (q >= 0.10).
