feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
"ZNF740"	"partially replicated TF"	"fibroblast_caf_fraction"	35	0.119852687627816	-0.50796805175141	0.747673427007042	0.710671862879349	"HC3_OLS; residual_sd=0.2438"	0.864069832380803	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"HALLMARK_PROTEIN_SECRETION"	"Hallmark"	"malignant_epithelial_fraction"	35	0.0186959797855909	0.00480799334543629	0.0325839662257455	0.0126072365310235	"HC3_OLS; residual_sd=0.01181"	0.0252144730620469	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"HALLMARK_SPERMATOGENESIS"	"Hallmark"	"malignant_epithelial_fraction"	35	-0.0127054393375221	-0.0311707763767611	0.00575989770171693	0.186643251139894	"HC3_OLS; residual_sd=0.01277"	0.186643251139894	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"CTCFL"	"externally replicated TF"	"malignant_epithelial_fraction"	35	-0.218910033165818	-0.757384743268998	0.319564676937362	0.431255326016833	"HC3_OLS; residual_sd=0.3417"	0.535021860286924	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"IRF3"	"externally replicated TF"	"malignant_epithelial_fraction"	35	0.428578287924993	-0.128871451598959	0.986028027448945	0.141353746975424	"HC3_OLS; residual_sd=0.4336"	0.339248992741018	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"JUNB"	"externally replicated TF"	"malignant_epithelial_fraction"	35	0.183978898605443	-0.206266245849804	0.57422404306069	0.362177862416954	"HC3_OLS; residual_sd=0.2832"	0.535021860286924	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"KLF13"	"externally replicated TF"	"malignant_epithelial_fraction"	35	0.187757607476595	-0.155714721614084	0.531229936567275	0.291751922684805	"HC3_OLS; residual_sd=0.2425"	0.516442734694681	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"KLF9"	"externally replicated TF"	"malignant_epithelial_fraction"	35	-0.18710820299499	-0.985053513569846	0.610837107579866	0.648820139380479	"HC3_OLS; residual_sd=0.4745"	0.648820139380479	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MNT"	"externally replicated TF"	"malignant_epithelial_fraction"	35	-0.651245309518774	-1.08104962709571	-0.221440991941836	0.00551814202512359	"HC3_OLS; residual_sd=0.3233"	0.0220725681004944	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"MXI1"	"externally replicated TF"	"malignant_epithelial_fraction"	35	0.180453261521036	-0.156329881183333	0.517236404225405	0.301258261905231	"HC3_OLS; residual_sd=0.2456"	0.516442734694681	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"SNAI2"	"externally replicated TF"	"malignant_epithelial_fraction"	35	-0.705683488868783	-1.22276488432027	-0.188602093417296	0.0115400483991265	"HC3_OLS; residual_sd=0.3411"	0.0346201451973795	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"TFAP4"	"externally replicated TF"	"malignant_epithelial_fraction"	35	-0.100800658265407	-0.4995461205584	0.297944804027587	0.623546833505512	"HC3_OLS; residual_sd=0.3092"	0.648820139380479	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"TP63"	"externally replicated TF"	"malignant_epithelial_fraction"	35	0.735050621830442	0.369309536433052	1.10079170722783	0.000399791575542574	"HC3_OLS; residual_sd=0.2821"	0.00239874945325544	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"ZBTB7A"	"externally replicated TF"	"malignant_epithelial_fraction"	35	-0.307129231416969	-1.08730850696485	0.473050044130909	0.445851550239103	"HC3_OLS; residual_sd=0.5037"	0.535021860286924	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZNF24"	"externally replicated TF"	"malignant_epithelial_fraction"	35	-0.743560222246794	-1.00312127031037	-0.48399917418322	3.00351861376629e-06	"HC3_OLS; residual_sd=0.2034"	3.60422233651954e-05	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"BHLHE40"	"partially replicated TF"	"malignant_epithelial_fraction"	35	-0.867230915230444	-1.49281369833094	-0.24164813212995	0.0104063268626598	"HC3_OLS; residual_sd=0.4255"	0.0421722764472653	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"E2F6"	"partially replicated TF"	"malignant_epithelial_fraction"	35	-0.407516987197271	-0.722119564375956	-0.0929144100185868	0.0160199014832247	"HC3_OLS; residual_sd=0.2625"	0.0421722764472653	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"ELF1"	"partially replicated TF"	"malignant_epithelial_fraction"	35	0.192130309100841	-0.134193769727912	0.518454387929595	0.256792706110515	"HC3_OLS; residual_sd=0.2447"	0.370922797715188	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"GRHL2"	"partially replicated TF"	"malignant_epithelial_fraction"	35	0.88835665746882	0.344139372041404	1.43257394289624	0.00303771005350118	"HC3_OLS; residual_sd=0.3228"	0.0394902306955153	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"KLF1"	"partially replicated TF"	"malignant_epithelial_fraction"	35	0.478744129565099	-0.102935180128881	1.06042343925908	0.116234590339177	"HC3_OLS; residual_sd=0.3976"	0.207654077831334	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MBD1"	"partially replicated TF"	"malignant_epithelial_fraction"	35	0.0149825793664832	-0.406761813510675	0.436726972243641	0.94490878273324	"HC3_OLS; residual_sd=0.2756"	0.94490878273324	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"MBD2"	"partially replicated TF"	"malignant_epithelial_fraction"	35	0.242977649857067	-0.0618770828767798	0.547832382590914	0.127787124819282	"HC3_OLS; residual_sd=0.1904"	0.207654077831334	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"OTX2"	"partially replicated TF"	"malignant_epithelial_fraction"	35	-0.27838971307974	-0.494531385779726	-0.0622480403797545	0.0165774945657873	"HC3_OLS; residual_sd=0.1278"	0.0421722764472653	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"SIX5"	"partially replicated TF"	"malignant_epithelial_fraction"	35	-0.638908101503237	-1.1487022298281	-0.129113973178378	0.0194641275910455	"HC3_OLS; residual_sd=0.3008"	0.0421722764472653	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"SNAPC4"	"partially replicated TF"	"malignant_epithelial_fraction"	35	-0.0902563210176367	-0.453606803191913	0.273094161156639	0.629572711285911	"HC3_OLS; residual_sd=0.229"	0.730680000343789	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
"ZBED1"	"partially replicated TF"	"malignant_epithelial_fraction"	35	0.404291367473791	0.110216721244752	0.69836601370283	0.010997453639777	"HC3_OLS; residual_sd=0.2496"	0.0421722764472653	"PENG_CRA001160"	"PARTLY_EXPLAINED_BY_CELL_COMPOSITION"
"ZNF384"	"partially replicated TF"	"malignant_epithelial_fraction"	35	-0.0946308777065242	-0.444916651803894	0.255654896390845	0.60000262204461	"HC3_OLS; residual_sd=0.2317"	0.730680000343789	"PENG_CRA001160"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"
