genus	primary_retained	prevalence	mean_abundance	median_abundance	zero_fraction	contamination_risk_category	evidence_source	included_in_primary	included_in_sensitivity	notes
Rhodobacter	True	0.4838709677419355	21.711069643038282	0.0	0.5161290322580645	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Micrococcus	True	0.532258064516129	44.66049922780843	14.2059186161497	0.46774193548387094	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Bradyrhizobium	True	1.0	656.1760701182584	257.02244648096496	0.0	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Aquabacterium	True	0.9354838709677419	63.496853517785716	59.908758105477006	0.06451612903225806	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Prevotella	True	0.2903225806451613	751.0283568672805	0.0	0.7096774193548387	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Sulfuritalea	True	0.27419354838709675	2.301286069380009	0.0	0.7258064516129032	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Escherichia	True	0.25806451612903225	65.76131094857334	0.0	0.7419354838709677	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Moraxella	True	0.8387096774193549	57.63390799616164	22.8523643458226	0.16129032258064516	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Shinella	True	0.9516129032258065	129.93500396942983	102.1492939990215	0.04838709677419355	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Cutibacterium	True	1.0	64.5770212641247	48.4084311674041	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Chryseobacterium	True	0.3870967741935484	48.49318851123001	0.0	0.6129032258064516	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Aminobacter	True	0.3387096774193548	5.238415255308854	0.0	0.6612903225806451	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Sphingopyxis	True	1.0	7782.93900984375	6627.69614294195	0.0	MODERATE_RISK_ENVIRONMENTAL	Phase 6B locked environmental/reagent flag list	True	MICRO_SENS_NO_HIGH_RISK	Environmental risk flag only; not confirmed contamination.
Thiomonas	True	0.6774193548387096	17.70716376732832	15.9131224914414	0.3225806451612903	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Flavobacterium	True	1.0	179.17713151293773	146.009131233468	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Verminephrobacter	True	0.20967741935483872	1.9867968867454957	0.0	0.7903225806451613	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Citrobacter	True	0.5161290322580645	25.038712440605753	5.878241787507751	0.4838709677419355	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
