gene	row_index_1based	missing_count	missing_proportion	nonmissing_count	mean_expression_skipna	median_expression_skipna	detected_sample_count_gt0_skipna	all_zero_among_observed	literal_NA	blank_field	parse_failure	missing_pattern
LINC01504	24627	0	0.0	62	128.2401408223646	114.876545888003	62	False	0	0	0	complete
LINC01505	24628	0	0.0	62	5.265675765812094	2.876484095724205	61	False	0	0	0	complete
LINC01506	24629	0	0.0	62	3.4174405079741947	0.986933538391757	37	False	0	0	0	complete
LINC01507	24630	0	0.0	62	3.8052564069703614	1.70970636576926	36	False	0	0	0	complete
LINC01508	24631	0	0.0	62	8.919482598727425	2.08346571042439	43	False	0	0	0	complete
LINC01510	24632	0	0.0	62	1.2735483120460143	0.846150014354211	33	False	0	0	0	complete
LINC01515	24633	0	0.0	62	329.9672581889553	276.067419619497	62	False	0	0	0	complete
LINC01516	24634	0	0.0	62	0.792930486308681	0.0	18	False	0	0	0	complete
LINC01517	24635	0	0.0	62	0.7269019428124269	0.0	11	False	0	0	0	complete
LINC01521	24636	0	0.0	62	58.71264649357204	56.00187853198125	62	False	0	0	0	complete
LINC01522	24637	0	0.0	62	7.022792227053476	2.40035625210999	50	False	0	0	0	complete
LINC01523	24638	0	0.0	62	3.3595058848382267	0.0	26	False	0	0	0	complete
LINC01524	24639	0	0.0	62	8.40681894427191	4.028176519473369	52	False	0	0	0	complete
LINC01525	24640	0	0.0	62	0.2744831261384613	0.0	7	False	0	0	0	complete
LINC01526	24641	0	0.0	62	2.765786389181097	0.8711758895921865	40	False	0	0	0	complete
LINC01527	24642	0	0.0	62	2.28769241489527	0.0	29	False	0	0	0	complete
LINC01529	24643	0	0.0	62	34.513860767028795	25.76911778585825	62	False	0	0	0	complete
LINC01531	24644	0	0.0	62	4.165996514470875	2.80971325198857	55	False	0	0	0	complete
LINC01534	24645	0	0.0	62	84.3610137163237	80.15949809870176	62	False	0	0	0	complete
LINC01535	24646	0	0.0	62	68.60068734354435	49.6132137876942	62	False	0	0	0	complete
LINC01537	24647	0	0.0	62	9.42866453104826	5.26352464155025	58	False	0	0	0	complete
LINC01538	24648	0	0.0	62	1.0449651419750248	0.0	24	False	0	0	0	complete
LINC01539	24649	0	0.0	62	4.1208924655760875	0.8953498207122299	36	False	0	0	0	complete
LINC01543	24650	0	0.0	62	0.8927122090344387	0.0	25	False	0	0	0	complete
LINC01544	24651	0	0.0	62	11.879545957103863	7.78810643752614	60	False	0	0	0	complete
LINC01545	24652	0	0.0	62	5.534039429149485	5.819030238064521	57	False	0	0	0	complete
LINC01546	24653	0	0.0	62	3.373824329133385	1.54200882952369	45	False	0	0	0	complete
LINC01547	24654	0	0.0	62	164.12702454796107	114.769273518967	62	False	0	0	0	complete
LINC01550	24655	0	0.0	62	135.5939804739207	90.64571098745134	62	False	0	0	0	complete
LINC01551	24656	0	0.0	62	1.6012768426480928	1.15788831173649	40	False	0	0	0	complete
LINC01554	24657	0	0.0	62	20.510461826661704	12.91245736246655	62	False	0	0	0	complete
LINC01555	24658	0	0.0	62	1.2648811058261817	0.0	30	False	0	0	0	complete
LINC01556	24659	0	0.0	62	2.443493997584098	0.9592688659759274	39	False	0	0	0	complete
LINC01558	24660	0	0.0	62	22.356415601243487	14.605002981323	60	False	0	0	0	complete
LINC01559	24661	0	0.0	62	567.0138266822936	287.42965834741847	62	False	0	0	0	complete
LINC01560	24662	0	0.0	62	60.368007686768834	57.56355717691325	62	False	0	0	0	complete
LINC01561	24663	0	0.0	62	40.19148156564947	33.68539970537336	59	False	0	0	0	complete
LINC01562	24664	0	0.0	62	2.5389920275915348	1.76975984675122	47	False	0	0	0	complete
LINC01563	24665	0	0.0	62	3.2742208941434017	1.7364672216293249	44	False	0	0	0	complete
LINC01564	24666	0	0.0	62	7.404149633311607	1.988032261446635	48	False	0	0	0	complete
LINC01565	24667	0	0.0	62	2.1078632114896316	0.989326851810352	44	False	0	0	0	complete
LINC01567	24668	0	0.0	62	15.32944100213256	9.09261120500279	60	False	0	0	0	complete
LINC01568	24669	0	0.0	62	1.591893449150869	0.8774163328086866	38	False	0	0	0	complete
LINC01569	24670	0	0.0	62	76.71491385716486	69.30697356794155	62	False	0	0	0	complete
LINC01572	24671	0	0.0	62	183.9634541712903	123.5306128158045	62	False	0	0	0	complete
LINC01574	24672	0	0.0	62	1.2852473023345328	0.0	26	False	0	0	0	complete
LINC01578	24673	0	0.0	62	4141.245577684794	3839.2431743340203	62	False	0	0	0	complete
LINC01579	24674	0	0.0	62	10.31024308382881	6.699870777520345	60	False	0	0	0	complete
LINC01581	24675	0	0.0	62	1.4125840479609584	0.0	30	False	0	0	0	complete
LINC01583	24676	0	0.0	62	7.618637551157092	3.24045718485836	55	False	0	0	0	complete
LINC01585	24677	0	0.0	62	10.913785343289733	10.131905905905999	61	False	0	0	0	complete
LINC01586	24678	0	0.0	62	11.272462535507026	9.577103044173114	59	False	0	0	0	complete
LINC01587	24679	0	0.0	62	30.48648322756273	26.136564379404753	62	False	0	0	0	complete
LINC01588	24680	0	0.0	62	372.85400919066825	275.536845054648	62	False	0	0	0	complete
LINC01589	24681	0	0.0	62	39.44185542929447	35.4708593989199	62	False	0	0	0	complete
LINC01592	24682	0	0.0	62	14.569757383634064	9.22227753238785	56	False	0	0	0	complete
LINC01594	24683	0	0.0	62	8.758387482194276	1.91651507910725	45	False	0	0	0	complete
LINC01596	24684	0	0.0	62	3.937856675757532	2.05855102948368	50	False	0	0	0	complete
LINC01597	24685	0	0.0	62	37.04341880662903	20.9873386805974	60	False	0	0	0	complete
LINC01600	24686	0	0.0	62	14.95226174203928	12.9180322286952	62	False	0	0	0	complete
LINC01603	24687	0	0.0	62	4.207953142874589	0.984211913381168	38	False	0	0	0	complete
LINC01605	24688	0	0.0	62	47.121680722878374	27.203850811777848	62	False	0	0	0	complete
LINC01606	24689	0	0.0	62	9.18023570519085	0.8850417134072834	35	False	0	0	0	complete
LINC01607	24690	0	0.0	62	8.762374714783492	7.5909758973540296	59	False	0	0	0	complete
LINC01609	24691	0	0.0	62	4.986596445121314	4.6268832654412	61	False	0	0	0	complete
LINC01611	24692	0	0.0	62	6.011841781511365	0.0	29	False	0	0	0	complete
LINC01612	24693	0	0.0	62	11.37124438616304	1.130860855826295	41	False	0	0	0	complete
LINC01613	24694	0	0.0	62	1.6505375682912795	0.7609930024627689	32	False	0	0	0	complete
LINC01614	24695	0	0.0	62	271.7656289508193	192.538826672813	62	False	0	0	0	complete
LINC01615	24696	0	0.0	62	39.84017880429066	26.6032972188815	60	False	0	0	0	complete
LINC01618	24697	0	0.0	62	1.509118534788471	0.9161485557392395	37	False	0	0	0	complete
LINC01619	24698	0	0.0	62	278.2092492448143	221.8986236261245	62	False	0	0	0	complete
LINC01620	24699	0	0.0	62	0.9072301291979931	0.0	29	False	0	0	0	complete
LINC01623	24700	0	0.0	62	1.8389294012427526	0.0	25	False	0	0	0	complete
LINC01624	24701	0	0.0	62	77.36895610616317	17.0299190280111	58	False	0	0	0	complete
LINC01625	24702	0	0.0	62	15.555543061026459	4.07126927645129	51	False	0	0	0	complete
LINC01627	24703	0	0.0	62	3.6286622062654197	2.364531516748435	55	False	0	0	0	complete
LINC01629	24704	0	0.0	62	8.294838552265128	3.799347159968005	47	False	0	0	0	complete
LINC01632	24705	0	0.0	62	0.8800291892020329	0.6792704476038015	32	False	0	0	0	complete
LINC01634	24706	0	0.0	62	1.31034486365026	0.0	28	False	0	0	0	complete
LINC01635	24707	0	0.0	62	46.5779061284898	17.476504950160653	62	False	0	0	0	complete
LINC01637	24708	0	0.0	62	55.74089610225311	48.8693110238425	62	False	0	0	0	complete
LINC01638	24709	0	0.0	62	14.889614622010399	11.293561947598	60	False	0	0	0	complete
LINC01640	24710	0	0.0	62	1.6670348339867467	0.8218525987783449	33	False	0	0	0	complete
LINC01644	24711	0	0.0	62	10.763242329076256	3.47910704932169	53	False	0	0	0	complete
LINC01645	24712	0	0.0	62	7.281702195279625	4.555637958794895	55	False	0	0	0	complete
LINC01648	24713	0	0.0	62	2.2346815855237816	0.961869623555615	40	False	0	0	0	complete
LINC01649	24714	0	0.0	62	5.714036289072765	2.91966469044502	50	False	0	0	0	complete
LINC01655	24715	0	0.0	62	39.613476614613454	26.13113606007975	59	False	0	0	0	complete
LINC01656	24716	0	0.0	62	1.009517404732597	0.8422890554026785	33	False	0	0	0	complete
LINC01657	24717	0	0.0	62	2.0188129176451794	0.9161485557392395	36	False	0	0	0	complete
LINC01659	24718	0	0.0	62	12.215151416790455	8.13537419590861	62	False	0	0	0	complete
LINC01664	24719	0	0.0	62	3.1693428986344694	2.1123083807077947	55	False	0	0	0	complete
LINC01666	24720	0	0.0	62	1.6842267807523053	0.843084738530713	33	False	0	0	0	complete
LINC01668	24721	0	0.0	62	1.3380705176562824	0.0	29	False	0	0	0	complete
LINC01669	24722	0	0.0	62	8.177897143360076	5.387420562340325	59	False	0	0	0	complete
