taxon	host_feature	host_feature_collection	coefficient	p_value	bh_q_value	supported_nominal	TRANSFORMATION_SENSITIVE_MECHANISM	composition_sensitive	sample_sensitive	evidence_category	criteria
Burkholderia	HALLMARK_HYPOXIA	MSigDB_Hallmark	-0.00298522958002945	0.327406804584512	0.409258505730641	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.3274; primary_q=0.4093; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	0.0150722182263907	0.00192471192712195	0.0235643448701816	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.001925; primary_q=0.02356; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	0.0245978493151869	0.00116594242264403	0.0194323737107338	TRUE	TRUE	FALSE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.001166; primary_q=0.01943; transformation_sensitive=TRUE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	0.0204115505925681	0.00375010458448657	0.0267864613177612	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.00375; primary_q=0.02679; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	0.0175536756903638	0.00847761541654153	0.0385346155297342	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.008478; primary_q=0.03853; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	0.0202599164470689	0.00045816621586153	0.0194323737107338	TRUE	TRUE	FALSE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.0004582; primary_q=0.01943; transformation_sensitive=TRUE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	-0.000175223017235074	0.95818313873548	0.977737896668858	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.9582; primary_q=0.9777; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	0.0140762887919321	0.029512138544053	0.0868004074825088	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.02951; primary_q=0.0868; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_MITOTIC_SPINDLE	MSigDB_Hallmark	-0.0067238501841442	0.0380988320148708	0.0907115047973113	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.0381; primary_q=0.09071; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Burkholderia	HALLMARK_MTORC1_SIGNALING	MSigDB_Hallmark	-0.00454086625743081	0.14231056917515	0.229533176088952	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.1423; primary_q=0.2295; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	-0.00547387119930638	0.159439345221154	0.249123976908053	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.1594; primary_q=0.2491; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Burkholderia	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	-0.00870063502616086	0.197016282043951	0.298509518248411	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.197; primary_q=0.2985; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
