dataset_id	feature_family	feature_name	model	effect_size_beta	std_error_HC3	ci95_low	ci95_high	p_value	spearman_rho	spearman_p	n	locked_direction_from_discovery	direction_consistent	bh_q_value	ci_excludes_zero
TCGA_PAAD	tf	JUNB	feature_score ~ moffitt50_contrast	0.2078475679105027	0.08652220347331777	0.038267165239753514	0.3774279705812519	0.01629477172432723	0.14471837766469597	0.05393733745915624	178	1	True	0.05036565805701144	True
TCGA_PAAD	tf	KDM5B	feature_score ~ moffitt50_contrast	0.0392323626860995	0.08597352125250415	-0.12927264259289756	0.20773736796509656	0.648152144423841	0.02769677284135291	0.7136279051934977	178	1	True	0.7599025141520894	False
TCGA_PAAD	tf	KLF1	feature_score ~ moffitt50_contrast	0.011285282261949026	0.08022315158667481	-0.1459492055742309	0.16851977009812896	0.8881277749827582	0.059281082964733306	0.43185124297912947	178	1	True	0.9222593476328868	False
TCGA_PAAD	tf	KLF13	feature_score ~ moffitt50_contrast	0.0852388623686345	0.09630361143627532	-0.1035127476276048	0.2739904723648738	0.3760996985365521	0.09691263914614828	0.19812987775875393	178	-1	False	0.608923321440132	False
TCGA_PAAD	tf	KLF9	feature_score ~ moffitt50_contrast	0.09355493399175534	0.09554618308374534	-0.09371214371265567	0.28082201169616633	0.32750127381029326	0.08258815293495574	0.2730901870469055	178	1	True	0.5567521654774985	False
TCGA_PAAD	tf	MAFF	feature_score ~ moffitt50_contrast	0.1670174349567403	0.07262041175666827	0.024684043371201364	0.3093508265422792	0.021455641916493535	0.14203519627546338	0.058592996647508534	178	-1	False	0.06079098543006501	True
TCGA_PAAD	tf	MBD1	feature_score ~ moffitt50_contrast	0.02807333693789195	0.07575488595677762	-0.12040351119033131	0.1765501850661152	0.7109494829399192	0.05276036807035425	0.4842775809459632	178	-1	False	0.7797510458050726	False
TCGA_PAAD	tf	MBD2	feature_score ~ moffitt50_contrast	0.07365664973168429	0.13351264668311616	-0.18802332924784448	0.33533662871121306	0.5811655988679527	0.1460951551102232	0.051669929333019796	178	1	True	0.731838161537422	False
TCGA_PAAD	tf	MNT	feature_score ~ moffitt50_contrast	0.2229342407865556	0.08538140349166407	0.05558976499341162	0.3902787165796996	0.009026739365313546	0.2197113929410899	0.0032112537043068874	178	-1	False	0.038293515929408814	True
TCGA_PAAD	tf	MXI1	feature_score ~ moffitt50_contrast	0.2509882066377259	0.09840095118030595	0.05812588627984214	0.4438505269956097	0.010751653699379757	0.11151799763599166	0.13834561075961302	178	-1	False	0.038293515929408814	True
TCGA_PAAD	tf	OTX2	feature_score ~ moffitt50_contrast	-0.17294158667072923	0.17364800997324387	-0.5132854322053393	0.16740225886388088	0.3192832508626796	-0.05036759137569254	0.5043397249292821	178	-1	True	0.5567521654774985	False
TCGA_PAAD	tf	SIX5	feature_score ~ moffitt50_contrast	0.042408683425825065	0.08266442697236012	-0.11961061624264219	0.20442798309429233	0.6079358150350231	0.05621068847829824	0.4561205693386077	178	1	True	0.738207775399671	False
TCGA_PAAD	tf	SNAI2	feature_score ~ moffitt50_contrast	0.6292198480876549	0.06545054890080051	0.5009391294737082	0.7575005667016015	7.000957042790825e-22	0.5359989956688218	1.2578026885733577e-14	178	-1	False	2.3803253945488805e-20	True
