analysis_id	candidate_K	cluster_id	cluster_size	within_cluster_consensus	cluster_mean_silhouette	bootstrap_jaccard_stability	cluster_size_flag
STAB_CSY_OUTLIER_EXCL	5	2	22	0.641238918756163	0.126302668572676	0.458158451234756	OK
STAB_CSY_OUTLIER_EXCL	5	3	17	0.969795053654974	0.329351716191455	0.609136222910213	OK
STAB_CSY_OUTLIER_EXCL	5	4	1	NA	0	0.318059728996494	VERY_SMALL
STAB_CSY_OUTLIER_EXCL	5	5	1	NA	0	0.346035001110001	VERY_SMALL
STAB_CSY_OUTLIER_EXCL	6	1	17	0.842508279679504	0.0946231481762757	0.518281566661751	OK
STAB_CSY_OUTLIER_EXCL	6	2	16	0.706782196703212	0.127449060660198	0.45280529460276	OK
STAB_CSY_OUTLIER_EXCL	6	3	6	0.593856855770208	0.0846359739632755	0.300242806544161	OK
STAB_CSY_OUTLIER_EXCL	6	4	17	0.916578921221763	0.321398254235176	0.594346061231506	OK
STAB_CSY_OUTLIER_EXCL	6	5	1	NA	0	0.397396303696303	VERY_SMALL
STAB_CSY_OUTLIER_EXCL	6	6	1	NA	0	0.441365995115994	VERY_SMALL
STAB_HVG_OUTLIER_EXCL	2	1	35	0.848341503179666	0.108733034805716	0.495946552990658	OK
STAB_HVG_OUTLIER_EXCL	2	2	23	0.86201040380974	0.290326469394284	0.503883832507138	OK
STAB_HVG_OUTLIER_EXCL	3	1	21	0.961077783247299	0.0484981724862814	0.533432466917675	OK
STAB_HVG_OUTLIER_EXCL	3	2	23	0.779653381533606	0.22502088332297	0.526132990077001	OK
STAB_HVG_OUTLIER_EXCL	3	3	14	0.873450935993745	0.201703061938772	0.565077995478595	OK
STAB_HVG_OUTLIER_EXCL	4	1	14	0.92815820891382	0.131302889086311	0.511851870482609	OK
STAB_HVG_OUTLIER_EXCL	4	2	23	0.767758117991504	0.199554423550736	0.514435732097322	OK
STAB_HVG_OUTLIER_EXCL	4	3	7	0.741281787202212	0.0258869327805658	0.451525897206508	OK
STAB_HVG_OUTLIER_EXCL	4	4	14	0.870827258245523	0.17691049431276	0.571799824929973	OK
STAB_HVG_OUTLIER_EXCL	5	1	14	0.834470245008696	0.0985741496209692	0.524353387646926	OK
STAB_HVG_OUTLIER_EXCL	5	2	9	0.991213517463703	0.178413811803864	0.465878044852463	OK
STAB_HVG_OUTLIER_EXCL	5	3	14	0.628990514683443	0.0375916874889901	0.376235083921926	OK
STAB_HVG_OUTLIER_EXCL	5	4	7	0.708105335585827	0.0222897650453602	0.470691086691086	OK
STAB_HVG_OUTLIER_EXCL	5	5	14	0.863359297311388	0.17691049431276	0.566462429971989	OK
STAB_HVG_OUTLIER_EXCL	6	1	14	0.774846803209974	0.0734588518771785	0.510234003513687	OK
STAB_HVG_OUTLIER_EXCL	6	2	9	0.98276027950731	0.152704241790018	0.506297502265535	OK
STAB_HVG_OUTLIER_EXCL	6	3	11	0.75052371344893	0.062483011991002	0.422614248793003	OK
STAB_HVG_OUTLIER_EXCL	6	4	7	0.615403276064725	0.011722010995869	0.437207742257742	OK
STAB_HVG_OUTLIER_EXCL	6	5	14	0.840592161034093	0.149543097492641	0.555719047619049	OK
STAB_HVG_OUTLIER_EXCL	6	6	3	0.949432404540764	0.146729857740072	0.385784099234099	VERY_SMALL
STAB_CSY_FEAT_RESAMP	2	1	45	0.955629917338874	0.202602556899158	0.620972946859903	OK
STAB_CSY_FEAT_RESAMP	2	2	17	0.980852377911433	0.401596407067168	0.621359686416913	OK
STAB_CSY_FEAT_RESAMP	3	1	22	0.78338931073886	0.200713135917375	0.532070669127252	OK
STAB_CSY_FEAT_RESAMP	3	2	23	0.799957897778097	0.168631245832078	0.533625022356012	OK
STAB_CSY_FEAT_RESAMP	3	3	17	0.979300710805749	0.373888066028125	0.62357359821121	OK
STAB_CSY_FEAT_RESAMP	4	1	18	0.842415247162936	0.154359453585125	0.528812660204022	OK
STAB_CSY_FEAT_RESAMP	4	2	23	0.652758493355864	0.11263804522136	0.472079893555477	OK
STAB_CSY_FEAT_RESAMP	4	3	4	0.533525884201487	0.129365635218818	0.184426944578059	VERY_SMALL
STAB_CSY_FEAT_RESAMP	4	4	17	0.960930943352942	0.373864699228562	0.626070175438592	OK
STAB_CSY_FEAT_RESAMP	5	1	18	0.784318546871654	0.151363046686777	0.521116855858355	OK
STAB_CSY_FEAT_RESAMP	5	2	14	0.730433968311201	0.179725542011452	0.448930432094827	OK
STAB_CSY_FEAT_RESAMP	5	3	4	0.469389239385006	0.115447462122368	0.237674175197008	VERY_SMALL
STAB_CSY_FEAT_RESAMP	5	4	9	0.526744915294047	0.0905512115352211	0.327124935259773	OK
STAB_CSY_FEAT_RESAMP	5	5	17	0.940314745977938	0.34228821021274	0.622181028551767	OK
STAB_CSY_FEAT_RESAMP	6	1	18	0.726996005123526	0.115151922864025	0.505684097760871	OK
STAB_CSY_FEAT_RESAMP	6	2	14	0.683041662242763	0.162579385576414	0.456221309320831	OK
STAB_CSY_FEAT_RESAMP	6	3	3	0.686366423430315	0.200953919375886	0.267527026014061	VERY_SMALL
STAB_CSY_FEAT_RESAMP	6	4	9	0.467674164167607	0.0649311868641807	0.335676545380146	OK
STAB_CSY_FEAT_RESAMP	6	5	17	0.910778046608285	0.323821154513138	0.611025111799101	OK
STAB_CSY_FEAT_RESAMP	6	6	1	NA	0	0.437390896603396	VERY_SMALL
STAB_CSY_IMPUTED	2	1	45	0.980837636490008	0.202602556899158	0.621376328502416	OK
STAB_CSY_IMPUTED	2	2	17	0.998764115129571	0.401596407067168	0.614721613271653	OK
