sample_id	patient_id	cell_type	tumor_control_status	CTCFL	IRF3	JUNB	KLF13	KLF9	MNT	MXI1	SNAI2	TFAP4	TP63	ZBTB7A	ZNF24	BHLHE40	E2F6	ELF1	GRHL2	KLF1	MBD1	MBD2	OTX2	SIX5	SNAPC4	ZBED1	ZNF384	ZNF740	dataset_id
"T23|T_cell"	"T23"	"T_cell"	"PDAC_TUMOR"	3.0240963547342	6.31948002628884	6.38516488873801	-4.87389287105378	5.5195998998673	-5.66193396059072	-7.64869935652905	-4.66788484745069	2.46966497055421	0.604028728896412	-4.86536130916381	-1.32106311371718	-6.34585381353605	-5.03446545366057	7.00008260375253	3.34794264553758	5.36103898552051	-4.9847955990737	-0.859703565422906	1.39730122799198	2.83148995808669	3.25698165494693	5.06703381866381	6.67275431063935	4.50415115734828	"PENG_CRA001160"
"T23|endothelial"	"T23"	"endothelial"	"PDAC_TUMOR"	4.2408072396914	4.88741461033907	7.44106782013251	-5.23850568527323	8.06004382812789	-7.04778939746598	-8.53970879628236	-5.60515647610735	3.34947018778804	0.693124139113025	-6.79451086181894	-1.11865467821182	-7.06203420022438	-5.67093955168973	7.64791536413443	3.72271656505227	5.84261534763629	-4.70866601550422	-0.416717871319317	2.43806709465734	3.10639410195557	3.18779820548645	4.86744581501676	7.89563955139827	5.28895879210871	"PENG_CRA001160"
"T23|fibroblast_caf"	"T23"	"fibroblast_caf"	"PDAC_TUMOR"	3.88712225480166	4.94441623138759	7.4994677508367	-5.17786675047278	6.69022268306749	-6.30718063865786	-8.73233880579614	-4.80625671043379	3.35615644149467	0.595382823937542	-5.64401183538085	-1.35993890570604	-6.33836095362072	-5.21453946190265	6.86361148133126	3.80884102407879	5.5393646493618	-4.3193850841734	-0.615463011511372	2.44122643387014	3.17577235926075	2.66712207659442	4.50234995674753	7.78286504719516	4.8094368896887	"PENG_CRA001160"
"T23|malignant_epithelial"	"T23"	"malignant_epithelial"	"PDAC_TUMOR"	3.58167051226238	5.64235438588645	7.84366710701567	-4.94514912261875	6.95017089053033	-7.22986116939197	-8.90529822914052	-6.82083404979119	4.45566824121096	1.36308417025382	-8.41220122813584	-1.85003349290648	-7.25497170058443	-6.36271948097627	7.81913731249628	8.11941563019536	6.20439528598328	-5.13448486095007	-0.511926076575584	1.39817541337757	2.92407878802763	3.00777578428652	4.97953086208238	7.96704752022157	5.69529196727674	"PENG_CRA001160"
"T23|myeloid"	"T23"	"myeloid"	"PDAC_TUMOR"	2.36908148542173	6.05075727996654	6.8866880418488	-4.92074424923298	5.89191843133048	-6.13952492448157	-7.96084412304503	-4.98347055829941	2.29194428662203	0.154397466008494	-5.2311906184738	-1.88377738534347	-6.68862673344431	-5.41528298391716	7.47815881876443	3.82176631480409	5.36491484210099	-4.69691747227807	-0.860124123791871	1.85028561680716	2.85415001918819	2.78485444555205	4.89398477137074	7.13224195273262	4.79409783625413	"PENG_CRA001160"
"T23|nonmalignant_epithelial"	"T23"	"nonmalignant_epithelial"	"PDAC_TUMOR"	2.94289739860276	4.75401250879641	6.16020249863044	-3.98953540022602	6.12675786421254	-6.11105931869619	-8.57505128266966	-5.5375853382331	3.86996529288918	0.00516709568827434	-6.51580869736854	-1.25972365234446	-6.62247939741991	-5.71454214574457	6.24950736535449	4.50482649883029	5.26259675028467	-4.71014951681406	-0.809045027871543	1.85706964993948	3.30808332509548	2.81771834581847	4.43128263604655	8.08273798466416	5.10820818478581	"PENG_CRA001160"
"T24|T_cell"	"T24"	"T_cell"	"PDAC_TUMOR"	2.5391719300816	6.10316821564492	5.91653821438891	-3.96122114622313	4.63552192062491	-4.35294575246487	-6.62538393442806	-4.0463064147117	2.31575678532606	0.145848494874217	-3.90100772861379	-0.512647288411164	-6.06885988857654	-4.48848603866241	6.34051960375999	2.8287688187764	4.79597208779813	-4.66599613444165	-0.171867012130617	1.20416157914324	2.65531727647423	2.98868989423501	4.93680731136482	5.82028973021837	3.75394004399908	"PENG_CRA001160"
"T24|endothelial"	"T24"	"endothelial"	"PDAC_TUMOR"	4.39173016808871	5.24672793235136	7.29789359959504	-5.06529156423985	8.46796465366315	-7.02944647582024	-8.58673402706259	-5.51469173587059	4.0406836928574	1.17668056205635	-6.82009275572415	-1.15703423797515	-7.31324353575358	-5.8560183292069	7.74670923820747	4.24049849471543	6.08970823588124	-5.05085225801254	0.0127743623052881	2.59727941683313	3.2935510140652	3.25303223284698	4.83771108953113	7.94370935591208	5.28838899768134	"PENG_CRA001160"
"T24|fibroblast_caf"	"T24"	"fibroblast_caf"	"PDAC_TUMOR"	3.98541046371331	4.88795831494206	7.28545948527208	-4.95780679803494	6.60428862051645	-5.97874594632107	-8.32998532650614	-4.74773512231275	3.41370329562933	0.778739491021078	-5.56719151280526	-0.726867291241984	-5.8208797592123	-4.73263440158611	6.35267182973083	3.91540812203041	5.63602537730454	-4.25356773981963	-0.767279070914205	2.51589655773093	3.42852173578845	2.53597415221323	4.25324529526104	7.28631722032806	4.59481028369816	"PENG_CRA001160"
"T24|malignant_epithelial"	"T24"	"malignant_epithelial"	"PDAC_TUMOR"	3.40094379040371	4.93966543845342	7.2719594219286	-4.59343052275404	7.15871590346543	-6.6068570152357	-8.68849017885314	-6.23236964794632	3.98332962875989	1.30694403502	-7.36856720812166	-1.76193146092009	-7.28489694929087	-5.73739000540139	7.23001520737943	7.08137570748546	5.83187784425952	-5.10275128555732	-0.888413074521572	1.46656589897131	2.80462205456699	2.69896243951481	4.75339598712498	7.46865051854531	5.49327970447559	"PENG_CRA001160"
