sample_id	patient_id	cell_type	tumor_control_status	BHLHE40	CTCFL	E2F6	ELF1	GRHL2	IRF3	JUNB	KLF1	KLF13	KLF9	MBD1	MBD2	MNT	MXI1	OTX2	SIX5	SNAI2	SNAPC4	TFAP4	TP63	ZBED1	ZBTB7A	ZNF24	ZNF384	ZNF740	dataset_id
N2|myeloid	N2	myeloid	CONTROL_PANCREAS	-5.91547333295036	2.25107027771822	-4.79245330684771	6.87309392574498	3.73020289298772	4.92902743909417	6.31058026019393	4.95239745876175	-5.26787511246482	5.72194634114642	-4.58602998107362	-0.424771043732533	-5.50867633578838	-7.88192091096626	1.21407363811647	3.24501628952783	-4.49666496867328	2.88978266514711	2.56660693340217	-0.353523142127766	4.71187226026162	-4.60968817892636	-1.45066160531249	6.79585334131935	4.98891538493642	PENG_CRA001160
N2|nonmalignant_epithelial	N2	nonmalignant_epithelial	CONTROL_PANCREAS	-5.55468610854743	2.90151372780169	-5.32181778968832	6.60258121936644	5.48869717416927	4.37368237995695	6.13845617076451	4.37314141843916	-4.28926497194611	6.34255766073081	-4.86895412368747	-0.718444347968561	-5.39431300206676	-8.34058643196987	1.03767370726873	3.79313717921744	-5.17081751083676	2.91994014303936	3.42550032088645	0.441393035878539	4.17942411109962	-5.87385846350496	-0.977082670924583	7.38452549769827	5.00447880439405	PENG_CRA001160
N3|endothelial	N3	endothelial	CONTROL_PANCREAS	-6.14243113179728	4.09806076023318	-5.745176469901	7.23348951274548	3.96506524043782	4.80761108477835	6.11427091238822	5.30414525592523	-4.83299931044112	7.06869688687298	-4.6832935745084	-0.194919226814464	-5.86740671407159	-8.11822063725922	2.68313067710914	3.3276400873948	-4.64406579633466	3.11071877484492	2.88625992637533	0.0743602783428185	4.25656485087749	-6.19056849312485	-0.709219224767409	7.9247734366806	5.19195275314327	PENG_CRA001160
N3|fibroblast_caf	N3	fibroblast_caf	CONTROL_PANCREAS	-3.95770366118896	3.38692245647172	-3.86702145927505	5.28781201501133	2.77539965982075	4.14199106076351	5.64613652368029	3.40328776344493	-3.86141284562044	5.68945038632249	-3.29307284588426	-0.4117674986253	-4.4798174040961	-7.86117006936633	2.5795832504331	3.48250405791745	-3.84048041597734	1.47584405408969	2.74615965561936	-0.459638581065907	3.86925791825077	-5.32942607347246	-0.953145204297603	6.82121899881142	4.7564282959716	PENG_CRA001160
N3|myeloid	N3	myeloid	CONTROL_PANCREAS	-4.68730448880252	2.03781188067827	-3.76573666232908	6.02877118282355	2.60134406201761	3.61502646805077	5.31990490481682	3.38635442094211	-3.86415543917322	4.10596337772429	-3.16133826045228	-0.0242554513666601	-4.63051606110016	-6.22951529514263	0.993100114099154	1.49470343550644	-3.46553739495928	2.35266159869042	1.86990144885322	-0.438090096824894	3.26579504780962	-4.03028979189242	-1.08424474128857	5.79094554396528	3.75387315166135	PENG_CRA001160
N3|nonmalignant_epithelial	N3	nonmalignant_epithelial	CONTROL_PANCREAS	-5.85323528467478	2.55616677492839	-5.07043790239181	6.436183171144	5.54982560680497	4.3278307033001	6.25375255577322	3.92357719710246	-4.07422147019284	5.93775418589655	-4.6923440050751	-1.27092939076478	-5.22027714384418	-8.36247313655138	1.16971380805956	3.65027788441528	-4.91415368808234	2.74066548841141	3.25752750270934	0.231530701597774	3.88917512872795	-5.87289493296689	-0.228811965839803	7.62270467112988	5.57931106852554	PENG_CRA001160
N4|endothelial	N4	endothelial	CONTROL_PANCREAS	-6.7477151717771	3.79352164343495	-5.64653819122541	7.38700085737676	4.34835770203717	4.73420295741816	6.35529486578153	5.46889420921085	-5.18028443825436	7.769598862555	-4.98553039795994	-0.35877937686327	-6.40332432521768	-8.46177069973561	1.79798910698582	3.57451064163232	-4.92380166376515	3.52162308375757	3.4210932045178	0.47567836813948	4.75730935544549	-6.25161880041473	-0.778196462023657	7.7488910085481	5.36872041289513	PENG_CRA001160
N4|fibroblast_caf	N4	fibroblast_caf	CONTROL_PANCREAS	-5.52966236408501	3.53080171934193	-4.42828598645517	6.3629732879603	3.72120280712277	3.83102964351826	6.67790064009868	4.37479536736515	-4.95785874143052	6.49955130841039	-4.22000137140659	-0.516775436295727	-4.99750557763785	-8.22176184919522	2.9432395817687	3.86512730307308	-4.62096599584417	2.16955967146077	3.52876344671822	0.261283610892701	3.38455944402837	-5.40053331784124	-0.450063090434601	7.65885567552787	5.04649553198657	PENG_CRA001160
N4|nonmalignant_epithelial	N4	nonmalignant_epithelial	CONTROL_PANCREAS	-6.09327837063198	3.01885960102693	-5.69801278731484	7.17054613824216	5.80002366837274	4.29503079956855	6.66152308650615	4.55937309362493	-4.31025887948487	6.60402461281283	-5.51796321975492	-1.00822341934035	-5.89639681950722	-9.03332355163124	1.429452736171	3.94137183167951	-5.53351624417886	3.36230223558653	3.94198222189579	0.610651935647411	4.39988186123828	-6.38134657433043	-1.08799453022558	8.31497659896846	5.70023710324208	PENG_CRA001160
N5|endothelial	N5	endothelial	CONTROL_PANCREAS	-7.45802806782378	4.20064820408313	-6.20808038006165	8.34235796003266	5.23185680756189	4.83578660595116	7.57996387782537	5.9418421915743	-5.11692982273068	8.62853345618321	-5.346659174069	-0.0676825157943288	-6.06629189824001	-8.80678085941283	2.06928280198816	3.28762251859115	-5.96698887085224	3.50486988064604	4.34168034942867	1.0021948651775	4.60009328426819	-8.25047085446425	-1.23673333182106	8.27174565119063	5.60634564118418	PENG_CRA001160
