sample_id	patient_id	cell_type	tumor_control_status	dataset_id	moffitt50_basal_score	moffitt50_classical_score	moffitt50_contrast	moffitt49_no_LEMD1_contrast	purist_probability
T18|myeloid	T18	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.456663223688645	0.410837015120345	-0.867500238808991	-0.843621489216712	0.001095990682655
T19|T_cell	T19	T_cell	PDAC_TUMOR	PENG_CRA001160	0.116147976157799	-0.309690030827527	0.425838006985326	0.457815210654532	0.217890860136379
T19|endothelial	T19	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.214605238205885	-0.374706734673262	0.160101496467377	0.178940589652727	0.14160778056506
T19|fibroblast_caf	T19	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.291425337207114	-0.545319822410113	0.253894485202999	0.269637512230874	0.0388284380442186
T19|malignant_epithelial	T19	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.82761411902854	1.24088447525316	0.586729643775379	0.627294173662376	0.138119187809941
T19|myeloid	T19	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.102106681920668	-0.504397392561799	0.40229071064113	0.43063601471932	0.0222480857552585
T19|nonmalignant_epithelial	T19	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.0804732467799595	-0.0260592940542779	0.106532540834237	0.138226091158082	0.0129196759674431
T1|T_cell	T1	T_cell	PDAC_TUMOR	PENG_CRA001160	0.0731753638244611	0.107653939078938	-0.0344785752544767	-0.0549398505449484	0.00449179932142955
T1|endothelial	T1	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.00909504280868684	0.373522210587987	-0.382617253396674	-0.402502902660188	0.00449179932142955
T1|fibroblast_caf	T1	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.141478666403714	0.294512494487463	-0.435991160891178	-0.473864981436346	0.00277037049485031
T1|malignant_epithelial	T1	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.35883105215627	1.56626732890641	-0.207436276750135	-0.233081693997768	0.00177886377378597
T1|myeloid	T1	myeloid	PDAC_TUMOR	PENG_CRA001160	0.116965156987837	0.256094148010358	-0.139128991022521	-0.150608265149168	0.00449179932142955
T1|nonmalignant_epithelial	T1	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.174024204934785	0.512357966601017	-0.338333761666232	-0.368322317927691	0.00449179932142955
T20|endothelial	T20	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.23416197051099	0.697742487199136	-0.931904457710126	-0.923650748527687	0.001095990682655
T20|fibroblast_caf	T20	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.376861672902127	0.479539618925836	-0.856401291827963	-0.829052909592792	0.001095990682655
T20|malignant_epithelial	T20	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.892110525057284	2.08741074212626	-1.19530021706898	-1.17876909206212	0.001095990682655
T20|myeloid	T20	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.192478855340927	0.482752939536422	-0.675231794877349	-0.639866768400387	0.001095990682655
T20|nonmalignant_epithelial	T20	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.118849518309899	1.01646819634478	-0.897618678034886	-0.873430940958905	0.00177886377378597
T21|B_cell	T21	B_cell	PDAC_TUMOR	PENG_CRA001160	0.43543006236153	-0.467010946727284	0.902441009088814	0.892345890775909	0.281102382173704
T21|T_cell	T21	T_cell	PDAC_TUMOR	PENG_CRA001160	0.660975991621959	-0.0277414384888373	0.688717430110796	0.669931489860864	0.0082931308919222
T21|endothelial	T21	endothelial	PDAC_TUMOR	PENG_CRA001160	0.673792078313321	-0.00721769221559707	0.681009770528918	0.680039550107314	0.164929230406098
T21|fibroblast_caf	T21	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	0.584227378423505	-0.225348199055364	0.809575577478869	0.797047638331194	0.436347249774632
T21|malignant_epithelial	T21	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	3.04107523403855	1.1481108645144	1.89296436952415	1.90725157431724	0.679832032476445
T21|myeloid	T21	myeloid	PDAC_TUMOR	PENG_CRA001160	0.820888206526941	0.0176938519056445	0.803194354621297	0.795992739088144	0.679832032476445
T21|nonmalignant_epithelial	T21	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.673275016153009	-0.0210163664569814	0.69429138260999	0.707217757541423	0.201652185647206
T22|B_cell	T22	B_cell	PDAC_TUMOR	PENG_CRA001160	0.328723578107722	0.0807705107829696	0.247953067324753	0.232018756820623	0.0138162126750525
T22|T_cell	T22	T_cell	PDAC_TUMOR	PENG_CRA001160	0.274605431943525	0.059503376922702	0.215102055020823	0.202740784665222	0.00277037049485031
T22|endothelial	T22	endothelial	PDAC_TUMOR	PENG_CRA001160	0.396293910743078	0.202637882976101	0.193656027766977	0.182411784591247	0.020734577589435
T22|fibroblast_caf	T22	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	0.313867126159088	0.0504170487078236	0.263450077451265	0.246938733117219	0.001095990682655
T22|malignant_epithelial	T22	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.80879861148185	1.46907523522892	0.339723376252924	0.319979602477639	0.001095990682655
T22|myeloid	T22	myeloid	PDAC_TUMOR	PENG_CRA001160	0.562631964239478	0.210425265277719	0.352206698961759	0.357873983280746	0.00277037049485031
T23|B_cell	T23	B_cell	PDAC_TUMOR	PENG_CRA001160	-0.251992945548097	-0.739208872264625	0.487215926716528	0.519993384054048	0.766741064228543
T23|T_cell	T23	T_cell	PDAC_TUMOR	PENG_CRA001160	0.171886020259823	-0.388046228540134	0.559932248799957	0.566163684581913	0.655657105498484
T23|endothelial	T23	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.225300937053531	-0.462108888822274	0.236807951768742	0.218776912851458	0.436347249774632
T23|fibroblast_caf	T23	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.0827623760374726	-0.558466255433099	0.475703879395626	0.473510326965709	0.133079567268404
T23|malignant_epithelial	T23	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	2.11190366158109	0.957261634182466	1.15464202739863	1.13508334583936	0.679832032476445
T23|myeloid	T23	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.0102697736068308	-0.441106881239649	0.430837107632818	0.420504114861135	0.333366040926694
T23|nonmalignant_epithelial	T23	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	-0.299122113416258	0.517092408188459	-0.816214521604717	-0.785486158522335	0.020734577589435
T24|T_cell	T24	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.366012698085613	-0.257264132034913	-0.1087485660507	-0.126539773108953	0.001095990682655
T24|endothelial	T24	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.568946382891322	-0.13159873844946	-0.437347644441862	-0.437126652463872	0.0138162126750525
T24|fibroblast_caf	T24	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.496027593933089	-0.295710645918229	-0.200316948014861	-0.199985069501085	0.00277037049485031
T24|malignant_epithelial	T24	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.922316953612197	1.90351961890645	-0.981202665294251	-1.01289753815111	0.001095990682655
T24|myeloid	T24	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.376793610814003	-0.18418134532536	-0.192612265488642	-0.165260924032249	0.00277037049485031
T24|nonmalignant_epithelial	T24	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	-0.184490026315483	0.170152567710231	-0.354642594025714	-0.350014802786745	0.00177886377378597
T2|B_cell	T2	B_cell	PDAC_TUMOR	PENG_CRA001160	-0.647042767711784	-0.386799377348018	-0.260243390363766	-0.261152863874356	0.0138162126750525
T2|T_cell	T2	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.461018053403353	-0.280469587853387	-0.180548465549966	-0.176388230179027	0.00277037049485031
T2|endothelial	T2	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.745439912609815	-0.179125351143249	-0.566314561466566	-0.554991320088251	0.0138162126750525
T2|fibroblast_caf	T2	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.698850055868325	-0.401473992772999	-0.297376063095327	-0.284027175771729	0.00277037049485031
T2|malignant_epithelial	T2	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.0119963275773922	1.6598344696464	-1.64783814206901	-1.68945605413723	0.001095990682655
T2|myeloid	T2	myeloid	PDAC_TUMOR	PENG_CRA001160	-0.458490495530627	-0.395492020924704	-0.0629984746059231	-0.0391991716154694	0.0138162126750525
T2|nonmalignant_epithelial	T2	nonmalignant_epithelial	PDAC_TUMOR	PENG_CRA001160	-0.195500536478618	0.0181863821342054	-0.213686918612823	-0.196929142440664	0.00449179932142955
T3|T_cell	T3	T_cell	PDAC_TUMOR	PENG_CRA001160	0.0938000946392669	0.395857990098246	-0.302057895458979	-0.31832489684466	0.00277037049485031
T3|endothelial	T3	endothelial	PDAC_TUMOR	PENG_CRA001160	0.0224004381121599	0.434449986644039	-0.41204954853188	-0.408037739293915	0.0138162126750525
T3|fibroblast_caf	T3	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	0.00435791890961773	0.296576382305465	-0.292218463395847	-0.317256228013148	0.001095990682655
T3|malignant_epithelial	T3	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	1.30791386501382	1.59689823380184	-0.28898436878802	-0.311913518816164	0.00550269180497639
T3|myeloid	T3	myeloid	PDAC_TUMOR	PENG_CRA001160	0.10399675090343	0.360336112962945	-0.256339362059515	-0.233445891366461	0.0138162126750525
T4|B_cell	T4	B_cell	PDAC_TUMOR	PENG_CRA001160	-0.484812993324691	0.453956722525722	-0.938769715850413	-0.916114869285788	0.0138162126750525
T4|T_cell	T4	T_cell	PDAC_TUMOR	PENG_CRA001160	-0.223650901649432	0.563209994836102	-0.786860896485534	-0.797927369881779	0.00277037049485031
T4|endothelial	T4	endothelial	PDAC_TUMOR	PENG_CRA001160	-0.370860080398213	0.381723095459366	-0.75258317585758	-0.798468222661114	0.0388284380442186
T4|fibroblast_caf	T4	fibroblast_caf	PDAC_TUMOR	PENG_CRA001160	-0.242736769961486	0.411054901417105	-0.653791671378592	-0.620611771624262	0.00277037049485031
T4|malignant_epithelial	T4	malignant_epithelial	PDAC_TUMOR	PENG_CRA001160	0.877113851544278	1.83849861691318	-0.961384765368902	-0.975864355137364	0.00277037049485031
