genus	max_cooks_distance	n_cooks_gt_4_over_n	max_abs_dfbeta_host_score	n_abs_dfbeta_gt_2_over_sqrt_n	max_leverage	max_abs_studentized_residual	leave_one_sample_out_coef_min	leave_one_sample_out_coef_max	leave_one_sample_out_direction_reversal	support_depends_on_one_or_two_patients	contamination_risk_category
Chryseobacterium	0.20428328644895538	3	0.4529117193686146	3	0.09080065219490129	5.192174601249572	0.3216636502124123	0.4502562371754993	False	False	LOW_CURRENT_CONCERN
Aminobacter	0.09077534253220446	3	0.37722493470002666	6	0.09080065219490129	2.475672022201346	-0.026843520373658017	0.08063370077469229	True	False	LOW_CURRENT_CONCERN
Sphingopyxis	0.13275424545485923	4	0.4634530764976184	3	0.09080065219490129	3.595357336457085	-0.19376131008308659	-0.15778628005237846	False	False	MODERATE_RISK_ENVIRONMENTAL
Thiomonas	0.16432564945402073	3	0.5104499692438009	5	0.09080065219490129	2.390724326200074	-0.046710263326208194	0.09001361248607853	True	False	LOW_CURRENT_CONCERN
Flavobacterium	0.11819410705111368	3	0.3841368822060747	4	0.09080065219490129	4.265743264006638	-0.2208756447405062	-0.18121693723089063	False	False	LOW_CURRENT_CONCERN
Verminephrobacter	0.21212967537994137	8	0.5913188230607431	8	0.09080065219490129	2.574679648146504	-0.04781148241024413	0.047666640269500266	True	False	LOW_CURRENT_CONCERN
Citrobacter	0.0517183505439981	0	0.2803082831636749	2	0.09080065219490129	1.95167289477815	-0.6552284831601795	-0.5138559433346429	False	False	LOW_CURRENT_CONCERN
Sphingobium	0.23121682939649654	4	0.5860390274805496	5	0.09080065219490129	3.4876163618472202	-0.43989874499869114	-0.3841198663646602	False	False	LOW_CURRENT_CONCERN
Methylorubrum	0.11069398482518027	2	0.3762182275211234	2	0.09080065219490129	2.41087611069738	0.4711960683168029	0.6067441791480745	False	True	LOW_CURRENT_CONCERN
Ralstonia	0.5029414407053402	4	0.990207848651159	2	0.09080065219490129	4.484746571151818	-0.0763826177744917	0.059207066528005295	True	False	HIGH_RISK_POTENTIAL_CONTAMINANT
Erythrobacter	0.10686124657334072	5	0.4133721169030658	4	0.09080065219490129	3.046917065676411	-0.27854079715048813	-0.23657473119511543	False	False	LOW_CURRENT_CONCERN
Xanthobacter	0.15526165287720875	3	0.5146190007070769	6	0.09080065219490129	2.0419072794700965	-0.12917246169486696	0.02208029913311489	True	False	LOW_CURRENT_CONCERN
Paucibacter	0.18660782857248737	5	0.5508967826021552	7	0.09080065219490129	2.3986767866671834	0.268586505244693	0.3866430089319479	False	False	LOW_CURRENT_CONCERN
Streptomyces	0.11669748246749444	2	0.43293945215124163	2	0.09080065219490129	2.822803871800043	0.40108233618651085	0.494745504119816	False	True	LOW_CURRENT_CONCERN
Collimonas	0.12318788492054306	6	0.4370337301607078	6	0.09080065219490129	2.3229985737638956	0.12564219595916074	0.23631682829222692	False	False	LOW_CURRENT_CONCERN
Bacillus	0.22314823551947197	3	0.43737717381910335	3	0.09080065219490129	6.997065976498111	0.19688314027075676	0.3491765463409751	False	False	LOW_CURRENT_CONCERN
Polaromonas	0.18439327598419417	2	0.515598182922339	3	0.09080065219490129	3.003536597274522	0.04108666378402233	0.15351086742394057	False	True	LOW_CURRENT_CONCERN
Ochrobactrum	0.13453760938841086	10	0.428926918732717	13	0.09080065219490129	2.552615900412203	0.7466519685431965	0.9465085900875225	False	False	LOW_CURRENT_CONCERN
Fusarium	0.2060344083516162	2	0.5365392655826012	2	0.09080065219490129	3.4382430281679697	-0.6587314448368309	-0.5133519201392348	False	True	LOW_CURRENT_CONCERN
Serratia	0.12025743014283913	2	0.43984820495932764	3	0.09080065219490129	1.9993109551288766	-0.5092635977819857	-0.36016262719921843	False	True	LOW_CURRENT_CONCERN
Candidatus Accumulibacter	0.11090776638958373	3	0.38821769258862554	5	0.09080065219490129	2.948440772261603	-0.07922172612167777	0.040299932682701045	True	False	LOW_CURRENT_CONCERN
Methylibium	0.12379927297668526	2	0.44663745099295504	2	0.09080065219490129	2.623325399439154	0.3181868286129502	0.4148038696147807	False	True	LOW_CURRENT_CONCERN
Novosphingobium	0.181030012824492	4	0.5073250334794318	3	0.09080065219490129	3.611974812352165	-0.28619825264618187	-0.24608042813809147	False	False	MODERATE_RISK_ENVIRONMENTAL
Pseudoxanthomonas	0.3101774726507414	5	0.7343553383226203	6	0.09080065219490129	3.580362861786102	0.12138745054155578	0.2875540703988249	False	False	LOW_CURRENT_CONCERN
Burkholderia	0.1857144747095342	3	0.5549020108863275	2	0.09080065219490129	4.064078940399121	-0.20190376895472123	-0.15042847780655247	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Rhizobacter	0.16196550765107248	3	0.5262329311325425	6	0.09080065219490129	2.160962230610503	0.10904272342943944	0.22589654601062778	False	False	LOW_CURRENT_CONCERN
Sphingomonas	0.10487743278611643	4	0.40933408182149744	4	0.09080065219490129	2.4861021627493507	-0.22043710895203272	-0.18051711844539947	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Diaphorobacter	0.07561352785878639	2	0.3145293046943888	3	0.09080065219490129	1.9621711110732143	-0.010127487446704997	0.12894983894457782	True	True	LOW_CURRENT_CONCERN
Fusobacterium	0.15498204665648405	4	0.3735598051351716	6	0.09080065219490129	5.177079284041431	0.34893422708627286	0.5203957843025351	False	False	LOW_CURRENT_CONCERN
Sphingobacterium	0.09732372559977644	4	0.369089045548904	5	0.09080065219490129	2.590347063485509	-0.17549442962552333	-0.0667807695786721	False	False	LOW_CURRENT_CONCERN
Alicycliphilus	0.25501752761817087	2	0.41792951675393736	2	0.09080065219490129	6.407068839191558	-0.07323712548190763	-0.011841957728794355	False	True	LOW_CURRENT_CONCERN
Devosia	0.12870633293388387	3	0.42222365250837485	5	0.09080065219490129	2.84252394932348	-0.37567274070073936	-0.24797195128449265	False	False	LOW_CURRENT_CONCERN
Ottowia	0.130675793584056	6	0.47008897116665105	6	0.09080065219490129	2.664228241724512	0.010710793032611564	0.1160808894494204	False	False	LOW_CURRENT_CONCERN
Thauera	0.21627724553487243	4	0.5524824755760038	2	0.09080065219490129	3.7671398303090924	-0.16483606587884658	-0.06959345060120879	False	False	LOW_CURRENT_CONCERN
Phreatobacter	0.11207812650066667	4	0.39285890002149615	4	0.09080065219490129	3.2286750457220643	-0.27456880528408617	-0.1838545669819244	False	False	LOW_CURRENT_CONCERN
Dickeya	0.18671982545880833	2	0.5475114258380613	3	0.09080065219490129	2.4797318997606976	0.09156777759463249	0.25089035761111916	False	True	LOW_CURRENT_CONCERN
Rhizobium	0.1329111416131466	5	0.4742776402798677	6	0.09080065219490129	2.963251458435462	-0.3497067010863781	-0.2760203506821029	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Sinorhizobium	0.09352195547947564	6	0.3432029245587596	3	0.09080065219490129	2.5336976293091538	0.185501558042394	0.2998864611470187	False	False	LOW_CURRENT_CONCERN
Stenotrophomonas	0.10237092219541391	2	0.39933641107220114	1	0.09080065219490129	2.5518379978120227	-0.08407564940258654	-0.030834444190041284	False	True	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Corynebacterium	0.14809755027938962	3	0.4824368034007192	4	0.09080065219490129	2.2645012838277525	0.15602899149275026	0.27467385237967124	False	False	LOW_CURRENT_CONCERN
Leptothrix	0.17810716849377528	4	0.553410959253455	4	0.09080065219490129	2.0485765456897456	0.07979023555307152	0.19398926504266784	False	False	LOW_CURRENT_CONCERN
Altererythrobacter	0.10654893116625432	4	0.3513397246112226	4	0.09080065219490129	2.5588276077454304	-0.022205288873834644	0.050307220635148225	True	False	LOW_CURRENT_CONCERN
Roseolovirus	0.11261946574624804	2	0.3759992600685135	4	0.09080065219490129	2.4808634097677245	-1.0095342643500314	-0.8543754051244496	False	True	LOW_CURRENT_CONCERN
Janibacter	0.14188690314088706	6	0.49080041367188904	7	0.09080065219490129	3.408109243159343	0.20635959466645482	0.3459906182507132	False	False	LOW_CURRENT_CONCERN
