taxon	total_abundance	mean_abundance	median_abundance	max_abundance	prevalence_count	prevalence_fraction	zero_fraction
Brevirhabdus	11.0316768875364	0.17793027237961936	0.0	11.0316768875364	1	0.016129032258064516	0.9838709677419355
Nostoc	266.0867062969003	4.2917210693048435	0.0	94.9632465995372	6	0.0967741935483871	0.9032258064516129
Moraxella	3573.3022957620215	57.63390799616164	22.8523643458226	1438.90094396463	52	0.8387096774193549	0.16129032258064516
Shinella	8055.970246104652	129.93500396942986	102.1492939990215	403.347781671943	59	0.9516129032258065	0.04838709677419355
Solendovirus	22.4889868987225	0.36272559514068553	0.0	22.4889868987225	1	0.016129032258064516	0.9838709677419355
Pannonibacter	50.17133246918193	0.8092150398255149	0.0	18.1520699875583	4	0.06451612903225806	0.9354838709677419
Alphatorquevirus	25.63609280658374	0.41348536784812484	0.0	18.4493751701432	2	0.03225806451612903	0.967741935483871
Cutibacterium	4003.77531837573	64.57702126412468	48.4084311674041	341.12480915454	62	1.0	0.0
Desulfovibrio	69.09123859819572	1.114374816099931	0.0	17.7544633410967	6	0.0967741935483871	0.9032258064516129
Chryseobacterium	3006.577687696261	48.49318851123002	0.0	1565.32824065171	24	0.3870967741935484	0.6129032258064516
Megasphaera	165.4083751732408	2.667877018923239	0.0	151.838252449672	2	0.03225806451612903	0.967741935483871
Aminobacter	324.781745829149	5.238415255308855	0.0	28.6476944682997	21	0.3387096774193548	0.6612903225806451
Rhodoplanes	0.0	0.0	0.0	0.0	0	0.0	1.0
Sphingopyxis	482542.2186103126	7782.939009843752	6627.69614294195	15129.9804373106	62	1.0	0.0
Cylindrospermum	0.0	0.0	0.0	0.0	0	0.0	1.0
Thiomonas	1097.8441535743561	17.707163767328325	15.9131224914414	79.5489952760931	42	0.6774193548387096	0.3225806451612903
Psychrobacter	130.16343738175598	2.099410280350903	0.0	83.6398814307567	3	0.04838709677419355	0.9516129032258065
Flavobacterium	11108.982153802142	179.1771315129378	146.009131233468	347.50286942468	62	1.0	0.0
Methylobacillus	19.87039150083984	0.32049018549741676	0.0	16.6676465980067	2	0.03225806451612903	0.967741935483871
Bifidobacterium	320.18334586465363	5.164247513946027	0.0	88.4397653363623	10	0.16129032258064516	0.8387096774193549
