patient_id	major_cell_class	n_cells	median_library_size	median_detected_genes	median_mitochondrial_fraction	dataset_id
T13	nonmalignant_epithelial	685	8810.0	2667.0	0.06684188094899844	PENG_CRA001160
T14	B_cell	2	4456.5	1301.0	0.024278153454041808	PENG_CRA001160
T14	T_cell	10	5629.0	1869.0	0.026087104702948935	PENG_CRA001160
T14	endothelial	81	8852.0	3027.0	0.043397039804569625	PENG_CRA001160
T14	fibroblast_caf	154	6575.5	2214.0	0.038806770933614426	PENG_CRA001160
T14	malignant_epithelial	1696	10668.5	3230.5	0.05553052628570399	PENG_CRA001160
T14	myeloid	50	6998.0	2363.0	0.05224044182596195	PENG_CRA001160
T14	nonmalignant_epithelial	5	20788.0	4270.0	0.046086191732629726	PENG_CRA001160
T15	B_cell	157	5150.0	1362.0	0.040610183467326325	PENG_CRA001160
T15	T_cell	136	5347.0	1577.5	0.03451913572958383	PENG_CRA001160
T15	endothelial	303	8710.0	2957.0	0.052664342629482074	PENG_CRA001160
T15	fibroblast_caf	908	7903.0	2546.0	0.047414730503561105	PENG_CRA001160
T15	malignant_epithelial	123	15937.0	3846.0	0.06777360066833751	PENG_CRA001160
T15	myeloid	93	7692.0	2308.0	0.06142766363058674	PENG_CRA001160
T15	nonmalignant_epithelial	236	9239.5	2824.0	0.07765617115005917	PENG_CRA001160
T16	B_cell	11	7458.0	1954.0	0.03406176259361855	PENG_CRA001160
T16	T_cell	45	6805.0	2092.0	0.031239935587761676	PENG_CRA001160
T16	endothelial	296	9430.5	2970.0	0.041527600330774295	PENG_CRA001160
T16	fibroblast_caf	692	9656.5	2860.5	0.03955115984106307	PENG_CRA001160
T16	malignant_epithelial	149	21287.0	4799.0	0.05755791126815862	PENG_CRA001160
T16	myeloid	258	7212.0	2135.5	0.03160506849576112	PENG_CRA001160
T16	nonmalignant_epithelial	183	9614.0	2916.0	0.06154512948315094	PENG_CRA001160
T17	B_cell	11	9917.0	2673.0	0.0350140056022409	PENG_CRA001160
T17	T_cell	29	7795.0	1988.0	0.029069767441860465	PENG_CRA001160
T17	endothelial	120	10532.0	3215.5	0.03864829783091504	PENG_CRA001160
T17	fibroblast_caf	200	10487.5	2941.0	0.03271404262641038	PENG_CRA001160
T17	malignant_epithelial	1473	14139.0	3574.0	0.06277299388493698	PENG_CRA001160
T17	myeloid	240	7530.0	2096.5	0.03793183222112464	PENG_CRA001160
T17	nonmalignant_epithelial	12	7303.0	2304.5	0.06630280745230299	PENG_CRA001160
T18	B_cell	1	5868.0	1286.0	0.03374233128834356	PENG_CRA001160
T18	T_cell	9	6300.0	2042.0	0.033837056504599214	PENG_CRA001160
T18	endothelial	165	10492.0	3180.0	0.0545033304373009	PENG_CRA001160
T18	fibroblast_caf	333	8219.0	2439.0	0.034163835409588526	PENG_CRA001160
T18	malignant_epithelial	1026	13534.0	3245.5	0.056426576524763905	PENG_CRA001160
T18	myeloid	21	8056.0	2243.0	0.04073580378565716	PENG_CRA001160
T18	nonmalignant_epithelial	7	7991.0	2665.0	0.063886925795053	PENG_CRA001160
T19	B_cell	13	11119.0	2939.0	0.02832687996739352	PENG_CRA001160
T19	T_cell	224	5972.0	1997.5	0.027279940525854626	PENG_CRA001160
T19	endothelial	856	9169.0	2960.5	0.030690255361349335	PENG_CRA001160
T19	fibroblast_caf	704	6423.5	2144.5	0.03223050379572119	PENG_CRA001160
T19	malignant_epithelial	419	13387.0	3550.0	0.05128789605653066	PENG_CRA001160
T19	myeloid	590	7785.5	2137.5	0.030803906831262336	PENG_CRA001160
T19	nonmalignant_epithelial	121	11197.0	2963.0	0.05686579671974141	PENG_CRA001160
T2	B_cell	1013	2851.0	919.0	0.03242727706247019	PENG_CRA001160
T2	T_cell	775	2943.0	1020.0	0.028343023255813952	PENG_CRA001160
T2	endothelial	242	4882.0	1987.0	0.03817496255539911	PENG_CRA001160
T2	fibroblast_caf	223	3842.0	1543.0	0.03570517725070135	PENG_CRA001160
