TF	regulon_version	confidence_levels	targets_expected	targets_observed	target_coverage_fraction	retained	activity_score_direction
NEUROD1	1.22.0	A;B;C	35	34	0.971428571428571	TRUE	VIPER_NES_positive_or_negative_TF_activity
NFATC1	1.22.0	A;B;C	35	35	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NFATC2	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
NFE2	1.22.0	A;B;C	48	48	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NFE2L1	1.22.0	A;B;C	31	30	0.967741935483871	TRUE	VIPER_NES_positive_or_negative_TF_activity
NFE2L2	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
NFIC	1.22.0	A;B;C	28	27	0.964285714285714	TRUE	VIPER_NES_positive_or_negative_TF_activity
NFKB1	1.22.0	A;B;C	164	164	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NFKB2	1.22.0	A;B;C	18	18	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NFYA	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
NFYB	1.22.0	A;B;C	76	76	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NR1H2	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
NR1H3	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
NR2C2	1.22.0	A;B;C	88	88	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NR2F1	1.22.0	A;B;C	68	66	0.970588235294118	TRUE	VIPER_NES_positive_or_negative_TF_activity
NR2F2	1.22.0	A;B;C	18	15	0.833333333333333	TRUE	VIPER_NES_positive_or_negative_TF_activity
NR2F6	1.22.0	A;B;C	32	32	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NR3C1	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
NR4A1	1.22.0	A;B;C	42	42	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NR5A1	1.22.0	A;B;C	15	14	0.933333333333333	FALSE	VIPER_NES_positive_or_negative_TF_activity
NR5A2	1.22.0	A;B;C	32	32	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
NRF1	1.22.0	A;B;C	79	78	0.987341772151899	TRUE	VIPER_NES_positive_or_negative_TF_activity
