taxon	prevalence_count	prevalence_fraction	total_abundance	mean_abundance
Phreatobacter	16	0.25806451612903225	198.36275561976245	3.199399284189717
Clostridium	14	0.22580645161290322	5112.352452284872	82.45729761749793
Chelatococcus	14	0.22580645161290322	172.1964248399116	2.777361690966316
Janthinobacterium	14	0.22580645161290322	154.33919441456064	2.4893418453961393
Luteimonas	13	0.20967741935483872	533.9751970988635	8.612503179013927
Mitsuaria	13	0.20967741935483872	331.09495372168817	5.340241189059487
Laribacter	13	0.20967741935483872	190.78748959445832	3.0772175741041665
Verminephrobacter	13	0.20967741935483872	123.18140697822074	1.9867968867454957
Kytococcus	12	0.1935483870967742	401.51745235766845	6.476087941252717
Brevibacterium	12	0.1935483870967742	273.7258841650915	4.4149336155659915
Neorhizobium	12	0.1935483870967742	125.26143688518597	2.0203457562126768
Microvirga	12	0.1935483870967742	106.21423698982177	1.7131328546745448
Alcanivorax	12	0.1935483870967742	89.82067349681103	1.4487205402711456
Parvimonas	11	0.1774193548387097	2756.7145289157957	44.46313756315799
Chroococcidiopsis	11	0.1774193548387097	527.4652719542418	8.507504386358738
Mycolicibacterium	10	0.16129032258064516	1469.0119299468013	23.69374080559357
Bifidobacterium	10	0.16129032258064516	320.18334586465363	5.164247513946027
Nitrobacter	10	0.16129032258064516	197.33723203697386	3.182858581241514
Desulfotomaculum	10	0.16129032258064516	169.753441720725	2.737958737431048
Chromobacterium	10	0.16129032258064516	98.16968280183802	1.5833819806748068
Parabacteroides	9	0.14516129032258066	2766.9614508774885	44.62841049802401
Magnetospirillum	9	0.14516129032258066	68.90488498705426	1.1113691126944236
Calothrix	8	0.12903225806451613	1354.0446841851876	21.83943039008367
Afipia	8	0.12903225806451613	449.8798713384992	7.256126957072568
Roseateles	8	0.12903225806451613	271.8509753830977	4.384693151340286
Pantoea	8	0.12903225806451613	200.76706555843708	3.238178476748985
Eggerthella	8	0.12903225806451613	179.57926211588114	2.8964397115464697
Pseudonocardia	8	0.12903225806451613	162.51991046780824	2.6212888785130364
Simplicispira	8	0.12903225806451613	53.822973399501734	0.8681124741855119
Collinsella	7	0.11290322580645161	413.03195266412075	6.66180568813098
Cercospora	7	0.11290322580645161	314.4106893112526	5.071140150181494
Neurospora	7	0.11290322580645161	259.4012864300521	4.1838917166137435
Myroides	7	0.11290322580645161	195.89538259973938	3.159602945157087
Vibrio	7	0.11290322580645161	68.08305656484431	1.098113815562005
Martelella	7	0.11290322580645161	62.56547587866264	1.009120578688107
Porphyromonas	6	0.0967741935483871	1006.0777049396702	16.227059757091453
Clostridioides	6	0.0967741935483871	950.0910959317954	15.324049934383797
Odoribacter	6	0.0967741935483871	334.52969261230623	5.3956402034242945
Exiguobacterium	6	0.0967741935483871	321.9556004494586	5.192832265313848
Nostoc	6	0.0967741935483871	266.0867062969003	4.2917210693048435
Faecalibacterium	6	0.0967741935483871	164.98952188343588	2.6611213207005786
Defluviimonas	6	0.0967741935483871	146.79397908857902	2.367644824009339
Alistipes	6	0.0967741935483871	124.31485024660225	2.005078229783907
Actinomyces	6	0.0967741935483871	113.98971982684554	1.8385438681749282
Lactococcus	6	0.0967741935483871	80.87206657834318	1.3043881706184384
Desulfovibrio	6	0.0967741935483871	69.09123859819572	1.114374816099931
Pimelobacter	6	0.0967741935483871	63.61108937104241	1.025985312436168
Halomonas	6	0.0967741935483871	63.04684156753281	1.0168845414118195
Limnohabitans	6	0.0967741935483871	28.602402864458448	0.4613290784590072
Dialister	5	0.08064516129032258	4199.87729667011	67.739956397905
Cytomegalovirus	5	0.08064516129032258	1790.646426384601	28.881393973945176
Edwardsiella	5	0.08064516129032258	617.4665586568677	9.959138042852706
Eubacterium	5	0.08064516129032258	197.1469536597794	3.179789575157732
Vitreoscilla	5	0.08064516129032258	19.91960569179573	0.3212839627708989
Azotobacter	5	0.08064516129032258	17.41771989879914	0.28093096610966356
Lymphocryptovirus	4	0.06451612903225806	263.6226427183036	4.251978108359736
Lachnoclostridium	4	0.06451612903225806	232.91611444539632	3.756711523312844
Treponema	4	0.06451612903225806	163.79327868559662	2.641827075574139
Helicobacter	4	0.06451612903225806	150.92509877706334	2.434275786726828
Celeribacter	4	0.06451612903225806	147.7277938210267	2.3827063519520433
Roseburia	4	0.06451612903225806	134.76610791959638	2.173646901928974
Flavonifractor	4	0.06451612903225806	131.45864447728985	2.1203007173756427
Morganella	4	0.06451612903225806	109.11164297166141	1.7598652092203453
Phaeobacter	4	0.06451612903225806	68.9527112600689	1.1121405041946597
Capnocytophaga	4	0.06451612903225806	57.27382036830412	0.9237712962629697
Dokdonella	4	0.06451612903225806	54.88096922820557	0.8851769230355737
Pannonibacter	4	0.06451612903225806	50.17133246918193	0.8092150398255149
Gemmobacter	4	0.06451612903225806	41.87721848198628	0.6754390077739723
Gordonia	4	0.06451612903225806	29.66214088745773	0.47842162721706016
Leuconostoc	4	0.06451612903225806	22.66937518658907	0.3656350836546624
Jeongeupia	4	0.06451612903225806	18.43734387401141	0.29737651409695826
Nitrosomonas	4	0.06451612903225806	13.712517232395891	0.22116963278057888
Neisseria	4	0.06451612903225806	12.77949600028479	0.20612090323039986
Selenomonas	3	0.04838709677419355	17924.52500157617	289.10524196090597
Veillonella	3	0.04838709677419355	6122.842779767334	98.75552870592475
Campylobacter	3	0.04838709677419355	2951.8264230746104	47.610103597977584
Haemophilus	3	0.04838709677419355	1845.202679409826	29.76133353886816
Mogibacterium	3	0.04838709677419355	357.9999818049545	5.774193254918621
Aspergillus	3	0.04838709677419355	172.31585756833778	2.7792880252957706
Blautia	3	0.04838709677419355	169.08337797649756	2.7271512576854446
Gemella	3	0.04838709677419355	144.9845646017501	2.338460719383066
Psychrobacter	3	0.04838709677419355	130.16343738175598	2.099410280350903
Oscillatoria	3	0.04838709677419355	97.4636667676295	1.5719946252843469
Betaretrovirus	3	0.04838709677419355	89.689300526956	1.4466016214025161
Yoonia	3	0.04838709677419355	81.1397225456361	1.3087052023489694
Cellulosimicrobium	3	0.04838709677419355	80.51814225288697	1.2986797137562416
Arthrobacter	3	0.04838709677419355	57.79563760571605	0.9321877033180008
Akkermansia	3	0.04838709677419355	26.065966620401884	0.4204188164580949
Marmoricola	3	0.04838709677419355	25.52985288530732	0.41177182073076324
Micropruina	3	0.04838709677419355	23.220949196375958	0.3745314386512251
Thioflavicoccus	3	0.04838709677419355	18.82528105405321	0.303633565387955
Marinobacter	3	0.04838709677419355	18.351378571929878	0.29598997696661095
Starkeya	3	0.04838709677419355	13.94943870369484	0.22499094683378773
Shewanella	3	0.04838709677419355	13.31183425995551	0.2147070041928308
Rhodovulum	3	0.04838709677419355	11.17801704487035	0.18029059749790888
Polymorphum	3	0.04838709677419355	10.7548408369612	0.17346517478969678
Botrytis	2	0.03225806451612903	549.9995435117546	8.870960379221849
Megasphaera	2	0.03225806451612903	165.4083751732408	2.667877018923239
Anaerostipes	2	0.03225806451612903	127.99663140343169	2.0644617968295433
Arenibacter	2	0.03225806451612903	90.9219563539735	1.4664831669995726
Auricoccus	2	0.03225806451612903	36.72389478333542	0.5923208836021842
Orthohepadnavirus	2	0.03225806451612903	27.920991132413548	0.4503385666518314
Alphatorquevirus	2	0.03225806451612903	25.63609280658374	0.41348536784812484
Aureimonas	2	0.03225806451612903	23.97431009501028	0.3866824208872626
Salimicrobium	2	0.03225806451612903	23.3852817052976	0.37718196298867096
Chelativorans	2	0.03225806451612903	21.7219831933524	0.3503545676347161
Geodermatophilus	2	0.03225806451612903	20.86496775019702	0.33653173790640356
Methylobacillus	2	0.03225806451612903	19.87039150083984	0.32049018549741676
Rubrobacter	2	0.03225806451612903	19.41809995670596	0.3131951605920316
Neomicrococcus	2	0.03225806451612903	18.40578354534014	0.2968674765377442
Planctomyces	2	0.03225806451612903	16.26000443912034	0.2622581361148442
