feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
MNT	externally replicated TF	fibroblast_caf_fraction	35	-0.735247729654703	-1.46706380083575	-0.00343165847365445	0.0573749564106177	HC3_OLS; residual_sd=0.3442	0.282990438673728	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MXI1	externally replicated TF	fibroblast_caf_fraction	35	-0.0702038784043518	-0.621897439587812	0.481489682779108	0.804587222855338	HC3_OLS; residual_sd=0.2495	0.966949629496334	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
SNAI2	externally replicated TF	fibroblast_caf_fraction	35	-0.657815604654487	-1.65339053932423	0.337759330015259	0.204290754179475	HC3_OLS; residual_sd=0.3709	0.576478511687611	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
TFAP4	externally replicated TF	fibroblast_caf_fraction	35	0.0132960282629077	-0.610901652936564	0.637493709462379	0.966949629496334	HC3_OLS; residual_sd=0.3102	0.966949629496334	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
TP63	externally replicated TF	fibroblast_caf_fraction	35	0.11461945259683	-0.660132379351817	0.889371284545476	0.77365412964835	HC3_OLS; residual_sd=0.337	0.966949629496334	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZBTB7A	externally replicated TF	fibroblast_caf_fraction	35	0.0527658124895126	-1.08298777368631	1.18851939866534	0.927995926016034	HC3_OLS; residual_sd=0.5095	0.966949629496334	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZNF24	externally replicated TF	fibroblast_caf_fraction	35	-0.434100731402646	-1.14547182218876	0.277270359383466	0.240199379869838	HC3_OLS; residual_sd=0.2682	0.576478511687611	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
BHLHE40	partially replicated TF	fibroblast_caf_fraction	35	-0.940759609855116	-1.65753653306061	-0.223982686649617	0.0147842632856433	HC3_OLS; residual_sd=0.4556	0.0960977113566816	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
E2F6	partially replicated TF	fibroblast_caf_fraction	35	-0.547881422341155	-1.22712310931443	0.13136026463212	0.123427890778377	HC3_OLS; residual_sd=0.2688	0.401140645029724	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ELF1	partially replicated TF	fibroblast_caf_fraction	35	0.03052726910892	-0.531816719442739	0.592871257660579	0.915909120235332	HC3_OLS; residual_sd=0.2494	0.989043836493597	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
