genus	spearman_rho	p_value	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_iterations	direction	analysis_role	bh_q_value
Burkholderia	-0.35040668832313465	0.00523716510450407	-0.5628115656423316	-0.11175297514387596	2000	negative	supporting	0.024574390105749865
Rhizobacter	0.034574802951323313	0.7896373094118078	-0.22326977598796685	0.29002841932882906	2000	positive	supporting	0.8580287576289194
Sphingomonas	-0.3784090050615699	0.0024246116180965714	-0.5874880967608437	-0.12195994440431757	2000	negative	supporting	0.013779829690598428
Diaphorobacter	-0.06922515172118555	0.5929067476493068	-0.31701057381229264	0.18827823037871272	2000	negative	supporting	0.7534856584709941
Fusobacterium	0.13948276296240336	0.2795934169257586	-0.1496530557535184	0.38978906737846913	2000	positive	supporting	0.4672657104786651
Sphingobacterium	-0.07793810279267709	0.5470988386165945	-0.3367574905259616	0.17461682621546157	2000	negative	supporting	0.7176995517335971
Alicycliphilus	-0.21905769182342424	0.08715426447931728	-0.434180476973926	0.03827944712141756	2000	negative	supporting	0.21265640532953414
Devosia	-0.2670041046561406	0.03591775078183354	-0.5024835563619868	-0.011750968703868877	2000	negative	supporting	0.11531488408904451
Ottowia	0.04500012590969756	0.7283686834544649	-0.21293994753796944	0.30338981773587204	2000	positive	supporting	0.8152383429490342
Thauera	-0.3242174712296341	0.010146738435565517	-0.5206370807187318	-0.0792413166618555	2000	negative	supporting	0.03868444028559353
Phreatobacter	-0.15086499962227093	0.24181970554995189	-0.4033853410079715	0.1308852290657528	2000	negative	supporting	0.4155211841844244
Dickeya	0.09642164639520535	0.4559613997099614	-0.16034684334723626	0.31811400697696707	2000	positive	supporting	0.6180810084957254
Rhizobium	-0.35065850771826446	0.005202562694192971	-0.5546432650792978	-0.12031757373720695	2000	negative	supporting	0.024574390105749865
Sinorhizobium	0.058346553851577644	0.6523819384205379	-0.18703078876801957	0.293155592261433	2000	positive	supporting	0.7836612586593432
Stenotrophomonas	-0.057842915061318015	0.6551921998627296	-0.2743405454282643	0.1679338759652541	2000	negative	supporting	0.7836612586593432
