Package	Version	LibPath	Priority
methods	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
mgcv	1.9-4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
mime	0.13	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
minfi	1.56.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
miniUI	0.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
modelr	0.1.11	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
multtest	2.66.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
nlme	3.1-168	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
nnet	7.3-20	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
nor1mix	1.3-3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
openssl	2.3.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
org.Hs.eg.db	3.22.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
otel	0.2.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
pak	0.9.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
parallel	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
patchwork	1.3.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
pillar	1.11.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
pkgbuild	1.4.8	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
pkgconfig	2.0.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
pkgdown	2.2.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
pkgload	1.5.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
plyr	1.8.9	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
png	0.1-9	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
polyclip	1.10-7	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
praise	1.0.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
preprocessCore	1.72.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
prettyunits	1.2.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
processx	3.8.7	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
profvis	0.4.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
progress	1.2.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
promises	1.5.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ps	1.9.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
purrr	1.2.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
