geo_series	geo_sample_id	geo_sample_title	tumor_number	biosample_id	sra_sample_id	sra_experiment_id	sra_run_id	bioproject	library_strategy	library_layout	platform	source_name	tissue	sample_type	mapping_status	notes
GSE172356	GSM5253116	pancreatic tumor 30	30	SAMN18797394	SRS8732490	SRX10636574	SRR14275280	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16180T based on source_material_id
GSE172356	GSM5253117	pancreatic tumor 31	31	SAMN18797393	SRS8732492	SRX10636575	SRR14275281	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16185T based on source_material_id
GSE172356	GSM5253118	pancreatic tumor 32	32	SAMN18797392	SRS8732491	SRX10636576	SRR14275282	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16188T based on source_material_id
GSE172356	GSM5253119	pancreatic tumor 33	33	SAMN18797361	SRS8732493	SRX10636577	SRR14275283	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16194T based on source_material_id
GSE172356	GSM5253120	pancreatic tumor 34	34	SAMN18797360	SRS8732494	SRX10636578	SRR14275284	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16202T based on source_material_id
GSE172356	GSM5253121	pancreatic tumor 35	35	SAMN18797359	SRS8732495	SRX10636579	SRR14275285	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16203T based on source_material_id
GSE172356	GSM5253122	pancreatic tumor 36	36	SAMN18797391	SRS8732496	SRX10636580	SRR14275286	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16207T based on source_material_id
GSE172356	GSM5253123	pancreatic tumor 37	37	SAMN18797390	SRS8732497	SRX10636581	SRR14275287	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16218T based on source_material_id
GSE172356	GSM5253124	pancreatic tumor 38	38	SAMN18797389	SRS8732498	SRX10636582	SRR14275288	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16222T based on source_material_id
GSE172356	GSM5253125	pancreatic tumor 39	39	SAMN18797388	SRS8732499	SRX10636583	SRR14275289	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16224T based on source_material_id
GSE172356	GSM5253126	pancreatic tumor 40	40	SAMN18797387	SRS8732500	SRX10636584	SRR14275290	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16227T based on source_material_id
GSE172356	GSM5253127	pancreatic tumor 41	41	SAMN18797386	SRS8732501	SRX10636585	SRR14275291	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16236T based on source_material_id
GSE172356	GSM5253128	pancreatic tumor 42	42	SAMN18797385	SRS8732502	SRX10636586	SRR14275292	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15047T based on source_material_id
GSE172356	GSM5253129	pancreatic tumor 43	43	SAMN18797384	SRS8732503	SRX10636587	SRR14275293	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15106T based on source_material_id
GSE172356	GSM5253130	pancreatic tumor 44	44	SAMN18797383	SRS8732504	SRX10636588	SRR14275294	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15166T based on source_material_id
GSE172356	GSM5253131	pancreatic tumor 45	45	SAMN18797382	SRS8732505	SRX10636589	SRR14275295	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15187T based on source_material_id
GSE172356	GSM5253132	pancreatic tumor 46	46	SAMN18797381	SRS8732506	SRX10636590	SRR14275296	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15211T based on source_material_id
GSE172356	GSM5253133	pancreatic tumor 47	47	SAMN18797380	SRS8732507	SRX10636591	SRR14275297	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX15214T based on source_material_id
GSE172356	GSM5253134	pancreatic tumor 48	48	SAMN18797414	SRS8732508	SRX10636592	SRR14275298	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16009T based on source_material_id
GSE172356	GSM5253135	pancreatic tumor 49	49	SAMN18797413	SRS8732509	SRX10636593	SRR14275299	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16011T based on source_material_id
GSE172356	GSM5253136	pancreatic tumor 50	50	SAMN18797412	SRS8732510	SRX10636594	SRR14275300	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16068T based on source_material_id
GSE172356	GSM5253137	pancreatic tumor 51	51	SAMN18797411	SRS8732511	SRX10636595	SRR14275301	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16070T based on source_material_id
GSE172356	GSM5253138	pancreatic tumor 52	52	SAMN18797410	SRS8732512	SRX10636596	SRR14275302	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16075T based on source_material_id
GSE172356	GSM5253139	pancreatic tumor 53	53	SAMN18797409	SRS8732513	SRX10636597	SRR14275303	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16079T based on source_material_id
GSE172356	GSM5253140	pancreatic tumor 54	54	SAMN18797408	SRS8732514	SRX10636598	SRR14275304	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16087T based on source_material_id
GSE172356	GSM5253141	pancreatic tumor 55	55	SAMN18797407	SRS8732515	SRX10636599	SRR14275305	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16094T based on source_material_id
GSE172356	GSM5253142	pancreatic tumor 56	56	SAMN18797406	SRS8732517	SRX10636600	SRR14275306	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16172T based on source_material_id
GSE172356	GSM5253143	pancreatic tumor 57	57	SAMN18797357	SRS8732516	SRX10636601	SRR14275307	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16295T based on source_material_id
GSE172356	GSM5253144	pancreatic tumor 58	58	SAMN18797355	SRS8732518	SRX10636602	SRR14275308	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16327T based on source_material_id
GSE172356	GSM5253145	pancreatic tumor 59	59	SAMN18797353	SRS8732519	SRX10636603	SRR14275309	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16335T based on source_material_id
GSE172356	GSM5253146	pancreatic tumor 60	60	SAMN18797351	SRS8732520	SRX10636604	SRR14275310	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16341T based on source_material_id
GSE172356	GSM5253147	pancreatic tumor 61	61	SAMN18797349	SRS8732521	SRX10636605	SRR14275311	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16343T based on source_material_id
GSE172356	GSM5253148	pancreatic tumor 62	62	SAMN18797348	SRS8732522	SRX10636606	SRR14275312	PRJNA723013	RNA-Seq	PAIRED	ILLUMINA	pancreas	Pancreas	Frozen tumor	VERIFIED	Matched to microbiome sample alias YX16347T based on source_material_id
